,target
1_1,-8.0
1_2,-8.0
1_3,-8.0
1_4,-8.0
1_5,-8.0
2_1,-8.0
2_2,-8.0
2_3,-8.0
2_4,-8.0
2_5,-8.0
3_1,0.4749264644690152
3_2,0.4749264644762901
3_3,0.2988352056097566
3_4,0.4749264644690152
3_5,0.29883520541333397
4_1,0.5998652010773151
4_2,0.6967749941835867
4_3,0.7759560936335973
4_4,0.5998652010773151
4_5,0.5998649263091906
5_1,-8.0
5_2,-8.0
5_3,-8.0
5_4,-8.0
5_5,-8.0
6_1,-8.0
6_2,-8.0
6_3,-8.0
6_4,-8.0
6_5,-8.0
7_1,-8.0
7_2,-8.0
7_3,-8.0
7_4,-8.0
7_5,-8.0
8_1,-8.0
8_2,-8.0
8_3,-8.0
8_4,-8.0
8_5,-8.0
9_1,-8.0
9_2,-8.0
9_3,-8.0
9_4,-8.0
9_5,-8.0
10_1,-8.0
10_2,-8.0
10_3,-8.0
10_4,-8.0
10_5,-8.0
11_1,-8.0
11_2,-8.0
11_3,-8.0
11_4,-8.0
11_5,-8.0
12_1,-8.0
12_2,-8.0
12_3,-8.0
12_4,-8.0
12_5,-8.0
13_1,-8.0
13_2,-8.0
13_3,-8.0
13_4,-8.0
13_5,-8.0
14_1,-8.0
14_2,-8.0
14_3,-8.0
14_4,-8.0
14_5,-8.0
15_1,0.29883520541333397
15_2,0.29883520541333397
15_3,0.2988352054351587
15_4,0.29883520541333397
15_5,0.3957452184213904
16_1,-3.1406862483415443
16_2,-8.0
16_3,-1.4880091243574858
16_4,-1.3460068649296104
16_5,-4.208642390972612
17_1,-8.0
17_2,-7.726998727936262
17_3,-8.0
17_4,-6.036094173881295
17_5,-8.0
18_1,-2.273298983876074
18_2,-2.677788109016071
18_3,-1.4352152960749645
18_4,-1.7937985958916962
18_5,-2.0184486816507534
19_1,-0.7177849680542349
19_2,-0.47869882532658625
19_3,-0.663727018302357
19_4,-0.6019124277612289
19_5,-0.7968396300761571
20_1,-0.005682969830465438
20_2,-0.020251022051216056
20_3,0.026277724290100005
20_4,0.08069261198761114
20_5,0.027757069207764953
21_1,0.09525848089621204
21_2,-0.03151827060111363
21_3,-0.46101371160878024
21_4,-8.0
21_5,-8.0
22_1,-8.0
22_2,0.29114650837485184
22_3,-8.0
22_4,0.12170028122645471
22_5,-5.477353664442626
23_1,-0.30524215333809673
23_2,-0.3828138144208274
23_3,-0.77994006977762
23_4,-0.5125781708457547
23_5,-0.251479696104968
24_1,0.9115375324833822
24_2,0.8194063952099936
24_3,0.7820885430957587
24_4,0.8017370976935947
24_5,0.8558557677698397
