,diff_mean_02,diff_mean_05,diff_mean_10,diff_mean_25,diff_median_02,diff_median_05,diff_median_10,diff_median_25,dist_ratio.coeff_var,eps.max,eps.ratio,eps.s,expl_var.cor_init,expl_var.cor_x,expl_var.cov_init,expl_var.cov_x,expl_var_PC1.cor_init,expl_var_PC1.cor_x,expl_var_PC1.cov_init,expl_var_PC1.cov_x,h.max,kurtosis,lin_simple.adj_r2,lin_simple.coef.max,lin_simple.coef.max_by_min,lin_simple.coef.min,lin_simple.intercept,lin_w_interact.adj_r2,m0,nb_fitness.cor,nn_nb.cor,nn_nb.mean_ratio,nn_nb.sd_ratio,number_of_peaks,quad_simple.adj_r2,quad_simple.cond,quad_w_interact.adj_r2,ratio_mean_02,ratio_mean_05,ratio_mean_10,ratio_mean_25,ratio_median_02,ratio_median_05,ratio_median_10,ratio_median_25,skewness
mirrored pairwise-1500d,5.0,13.0,15.0,7.0,18.0,61.0,71.0,77.0,92.0,8.0,1.0,63.0,23.0,1.0,21.0,31.0,41.0,68.0,20.0,49.0,60.0,26.0,76.0,79.0,89.0,99.0,63.0,62.0,59.0,19.0,36.0,41.0,27.0,45.0,14.0,6.0,7.0,11.0,15.0,11.0,7.0,10.0,73.0,0.0,0.0,0.0
mirrored-1500d,2.0,18.0,5.0,7.0,8.0,61.0,67.0,61.0,96.0,7.0,2.0,77.0,12.0,2.0,25.0,22.0,57.0,77.0,9.0,36.0,61.0,14.0,67.0,77.0,95.0,107.0,68.0,62.0,74.0,31.0,42.0,43.0,26.0,48.0,16.0,6.0,3.0,6.0,22.0,7.0,7.0,13.0,74.0,0.0,0.0,0.0
None-1500d,8.0,20.0,1.0,5.0,8.0,56.0,59.0,66.0,98.0,7.0,3.0,69.0,13.0,1.0,25.0,27.0,41.0,79.0,22.0,48.0,63.0,23.0,74.0,79.0,95.0,108.0,72.0,67.0,57.0,23.0,30.0,49.0,19.0,51.0,13.0,10.0,5.0,9.0,13.0,7.0,10.0,9.0,78.0,0.0,0.0,0.0
mirrored pairwise-1000d,5.0,10.0,7.0,6.0,11.0,59.0,72.0,77.0,92.0,9.0,1.0,63.0,23.0,0.0,24.0,31.0,55.0,70.0,10.0,42.0,66.0,29.0,70.0,83.0,78.0,102.0,76.0,64.0,65.0,20.0,25.0,58.0,22.0,63.0,19.0,10.0,4.0,5.0,13.0,6.0,7.0,5.0,63.0,0.0,0.0,0.0
mirrored-1000d,5.0,17.0,6.0,12.0,8.0,72.0,65.0,75.0,93.0,5.0,2.0,73.0,8.0,5.0,24.0,33.0,51.0,64.0,22.0,34.0,61.0,18.0,71.0,79.0,87.0,108.0,83.0,62.0,70.0,27.0,24.0,37.0,17.0,46.0,28.0,15.0,5.0,7.0,23.0,4.0,6.0,11.0,57.0,0.0,0.0,0.0
None-1000d,7.0,19.0,7.0,7.0,12.0,58.0,57.0,65.0,96.0,8.0,3.0,68.0,12.0,3.0,26.0,28.0,48.0,78.0,20.0,39.0,60.0,24.0,85.0,84.0,88.0,108.0,69.0,58.0,64.0,29.0,27.0,50.0,15.0,52.0,26.0,11.0,5.0,2.0,15.0,5.0,7.0,4.0,71.0,0.0,0.0,0.0
mirrored pairwise-500d,8.0,28.0,16.0,4.0,5.0,67.0,65.0,70.0,65.0,10.0,4.0,54.0,22.0,2.0,19.0,28.0,47.0,57.0,29.0,47.0,71.0,14.0,72.0,86.0,71.0,99.0,87.0,43.0,53.0,39.0,30.0,79.0,16.0,59.0,33.0,22.0,9.0,4.0,23.0,11.0,15.0,4.0,33.0,0.0,0.0,0.0
mirrored-500d,10.0,26.0,14.0,9.0,8.0,57.0,52.0,66.0,79.0,8.0,5.0,65.0,30.0,3.0,29.0,28.0,40.0,58.0,30.0,36.0,71.0,16.0,76.0,82.0,69.0,94.0,94.0,41.0,60.0,43.0,23.0,72.0,21.0,60.0,41.0,15.0,15.0,4.0,16.0,10.0,14.0,8.0,22.0,0.0,0.0,0.0
None-500d,3.0,26.0,7.0,10.0,6.0,48.0,57.0,60.0,86.0,9.0,4.0,56.0,33.0,2.0,22.0,26.0,44.0,67.0,29.0,35.0,74.0,16.0,86.0,86.0,53.0,98.0,97.0,48.0,57.0,53.0,27.0,75.0,11.0,76.0,40.0,16.0,10.0,5.0,18.0,9.0,7.0,10.0,18.0,0.0,0.0,0.0
mirrored pairwise-300d,12.0,26.0,28.0,24.0,13.0,68.0,52.0,69.0,63.0,16.0,14.0,24.0,36.0,21.0,53.0,32.0,24.0,43.0,24.0,54.0,76.0,21.0,53.0,40.0,55.0,64.0,66.0,53.0,40.0,46.0,15.0,47.0,55.0,69.0,46.0,27.0,17.0,16.0,30.0,23.0,20.0,10.0,35.0,0.0,0.0,0.0
