,diff_mean_02,diff_mean_05,diff_mean_10,diff_mean_25,diff_median_02,diff_median_05,diff_median_10,diff_median_25,dist_ratio.coeff_var,eps.max,eps.ratio,eps.s,expl_var.cor_init,expl_var.cor_x,expl_var.cov_init,expl_var.cov_x,expl_var_PC1.cor_init,expl_var_PC1.cor_x,expl_var_PC1.cov_init,expl_var_PC1.cov_x,h.max,kurtosis,lin_simple.adj_r2,lin_simple.coef.max,lin_simple.coef.max_by_min,lin_simple.coef.min,lin_simple.intercept,lin_w_interact.adj_r2,m0,nb_fitness.cor,nn_nb.cor,nn_nb.mean_ratio,nn_nb.sd_ratio,number_of_peaks,quad_simple.adj_r2,quad_simple.cond,quad_w_interact.adj_r2,ratio_mean_02,ratio_mean_05,ratio_mean_10,ratio_mean_25,ratio_median_02,ratio_median_05,ratio_median_10,ratio_median_25,skewness
equal-1500d,29.0,14.0,8.0,6.0,14.0,15.0,84.0,63.0,47.0,1.0,5.0,20.0,28.0,4.0,4.0,27.0,33.0,15.0,43.0,27.0,55.0,30.0,69.0,62.0,32.0,21.0,39.0,30.0,9.0,19.0,16.0,65.0,11.0,55.0,0.0,3.0,7.0,4.0,14.0,3.0,6.0,5.0,38.0,0.0,0.0,0.0
default-1500d,35.0,12.0,4.0,6.0,29.0,15.0,89.0,70.0,58.0,0.0,1.0,17.0,38.0,1.0,14.0,41.0,37.0,17.0,26.0,18.0,42.0,17.0,59.0,49.0,21.0,26.0,29.0,18.0,16.0,33.0,50.0,51.0,11.0,53.0,2.0,1.0,3.0,20.0,8.0,5.0,9.0,12.0,17.0,0.0,0.0,0.0
1/2^lambda-1500d,53.0,18.0,7.0,1.0,38.0,21.0,70.0,49.0,64.0,4.0,1.0,21.0,20.0,3.0,15.0,27.0,19.0,6.0,16.0,9.0,41.0,23.0,52.0,37.0,15.0,27.0,22.0,16.0,11.0,42.0,56.0,52.0,17.0,75.0,7.0,10.0,13.0,31.0,22.0,6.0,7.0,25.0,11.0,0.0,0.0,0.0
equal-1000d,18.0,25.0,6.0,2.0,24.0,12.0,60.0,42.0,58.0,1.0,11.0,17.0,24.0,4.0,2.0,21.0,31.0,16.0,36.0,24.0,61.0,39.0,57.0,54.0,45.0,29.0,19.0,20.0,11.0,14.0,30.0,57.0,15.0,91.0,6.0,5.0,11.0,25.0,15.0,1.0,2.0,10.0,29.0,0.0,0.0,0.0
default-1000d,43.0,29.0,20.0,5.0,37.0,13.0,53.0,45.0,58.0,2.0,0.0,25.0,29.0,1.0,14.0,30.0,26.0,12.0,18.0,20.0,31.0,42.0,53.0,57.0,24.0,8.0,20.0,15.0,8.0,43.0,57.0,47.0,17.0,64.0,3.0,7.0,11.0,38.0,22.0,8.0,2.0,10.0,13.0,0.0,0.0,0.0
1/2^lambda-1000d,38.0,33.0,23.0,5.0,17.0,31.0,46.0,34.0,69.0,2.0,0.0,26.0,41.0,1.0,11.0,34.0,20.0,5.0,18.0,8.0,33.0,49.0,49.0,59.0,5.0,12.0,24.0,21.0,14.0,47.0,49.0,30.0,20.0,84.0,3.0,4.0,17.0,28.0,26.0,4.0,10.0,18.0,12.0,0.0,0.0,0.0
equal-500d,2.0,6.0,3.0,0.0,0.0,9.0,70.0,71.0,79.0,1.0,6.0,44.0,34.0,1.0,18.0,41.0,30.0,10.0,23.0,17.0,92.0,65.0,66.0,79.0,30.0,38.0,16.0,24.0,9.0,4.0,7.0,49.0,17.0,93.0,1.0,3.0,4.0,0.0,3.0,1.0,2.0,0.0,12.0,0.0,0.0,0.0
default-500d,12.0,3.0,2.0,4.0,5.0,13.0,81.0,63.0,63.0,2.0,2.0,25.0,31.0,1.0,31.0,28.0,27.0,32.0,27.0,34.0,64.0,73.0,65.0,48.0,45.0,34.0,26.0,17.0,6.0,4.0,38.0,48.0,7.0,80.0,0.0,1.0,6.0,5.0,4.0,3.0,3.0,1.0,16.0,0.0,0.0,0.0
1/2^lambda-500d,18.0,1.0,2.0,3.0,2.0,14.0,85.0,52.0,71.0,1.0,3.0,22.0,23.0,2.0,28.0,26.0,26.0,24.0,32.0,36.0,71.0,82.0,45.0,62.0,44.0,40.0,23.0,32.0,4.0,15.0,42.0,41.0,14.0,78.0,0.0,0.0,2.0,2.0,0.0,4.0,4.0,2.0,2.0,0.0,0.0,0.0
equal-300d,8.0,2.0,0.0,0.0,0.0,10.0,74.0,71.0,61.0,1.0,4.0,32.0,53.0,0.0,16.0,42.0,34.0,10.0,23.0,32.0,86.0,77.0,69.0,74.0,28.0,50.0,10.0,21.0,12.0,10.0,6.0,37.0,11.0,91.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,15.0,0.0,0.0,0.0
