,diff_mean_02,diff_mean_05,diff_mean_10,diff_mean_25,diff_median_02,diff_median_05,diff_median_10,diff_median_25,dist_ratio.coeff_var,eps.max,eps.ratio,eps.s,expl_var.cor_init,expl_var.cor_x,expl_var.cov_init,expl_var.cov_x,expl_var_PC1.cor_init,expl_var_PC1.cor_x,expl_var_PC1.cov_init,expl_var_PC1.cov_x,h.max,kurtosis,lin_simple.adj_r2,lin_simple.coef.max,lin_simple.coef.max_by_min,lin_simple.coef.min,lin_simple.intercept,lin_w_interact.adj_r2,m0,nb_fitness.cor,nn_nb.cor,nn_nb.mean_ratio,nn_nb.sd_ratio,number_of_peaks,quad_simple.adj_r2,quad_simple.cond,quad_w_interact.adj_r2,ratio_mean_02,ratio_mean_05,ratio_mean_10,ratio_mean_25,ratio_median_02,ratio_median_05,ratio_median_10,ratio_median_25,skewness
sobol-1500d,41.0,12.0,4.0,3.0,31.0,24.0,82.0,62.0,44.0,0.0,1.0,16.0,26.0,1.0,11.0,38.0,25.0,14.0,24.0,17.0,46.0,25.0,64.0,50.0,20.0,22.0,43.0,17.0,13.0,34.0,53.0,62.0,9.0,41.0,4.0,4.0,6.0,25.0,17.0,3.0,5.0,15.0,26.0,0.0,0.0,0.0
halton-1500d,26.0,11.0,8.0,7.0,22.0,12.0,84.0,67.0,76.0,5.0,5.0,21.0,33.0,6.0,12.0,23.0,37.0,19.0,42.0,20.0,48.0,28.0,57.0,53.0,29.0,22.0,9.0,23.0,9.0,20.0,22.0,42.0,20.0,90.0,0.0,5.0,9.0,11.0,7.0,8.0,10.0,7.0,15.0,0.0,0.0,0.0
gaussian-1500d,50.0,21.0,7.0,3.0,28.0,15.0,77.0,53.0,49.0,0.0,1.0,21.0,27.0,1.0,10.0,34.0,27.0,5.0,19.0,17.0,44.0,17.0,59.0,45.0,19.0,30.0,38.0,24.0,14.0,40.0,47.0,64.0,10.0,52.0,5.0,5.0,8.0,19.0,20.0,3.0,7.0,20.0,25.0,0.0,0.0,0.0
sobol-1000d,47.0,47.0,15.0,3.0,43.0,21.0,37.0,25.0,47.0,0.0,1.0,17.0,26.0,0.0,2.0,25.0,18.0,9.0,12.0,17.0,21.0,33.0,46.0,49.0,29.0,4.0,24.0,21.0,11.0,56.0,63.0,63.0,19.0,78.0,1.0,7.0,11.0,46.0,33.0,6.0,6.0,20.0,21.0,0.0,0.0,0.0
halton-1000d,10.0,9.0,12.0,3.0,4.0,11.0,76.0,71.0,79.0,4.0,8.0,34.0,35.0,5.0,20.0,29.0,45.0,16.0,34.0,13.0,73.0,52.0,68.0,66.0,21.0,27.0,16.0,18.0,13.0,6.0,21.0,26.0,15.0,86.0,4.0,6.0,12.0,4.0,5.0,0.0,2.0,2.0,19.0,0.0,0.0,0.0
gaussian-1000d,42.0,31.0,22.0,6.0,31.0,24.0,46.0,25.0,59.0,1.0,2.0,17.0,33.0,1.0,5.0,31.0,14.0,8.0,26.0,22.0,31.0,45.0,45.0,55.0,24.0,18.0,23.0,17.0,9.0,42.0,52.0,45.0,18.0,75.0,7.0,3.0,16.0,41.0,25.0,7.0,6.0,16.0,14.0,0.0,0.0,0.0
sobol-500d,11.0,4.0,4.0,1.0,5.0,12.0,71.0,55.0,72.0,1.0,3.0,34.0,23.0,0.0,20.0,37.0,21.0,26.0,26.0,27.0,67.0,77.0,56.0,67.0,34.0,45.0,29.0,24.0,6.0,7.0,37.0,59.0,18.0,81.0,0.0,1.0,5.0,4.0,2.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0
halton-500d,11.0,4.0,1.0,5.0,0.0,13.0,97.0,72.0,77.0,2.0,8.0,30.0,37.0,3.0,27.0,27.0,34.0,13.0,26.0,30.0,96.0,63.0,66.0,70.0,31.0,26.0,7.0,25.0,8.0,7.0,12.0,29.0,6.0,84.0,1.0,1.0,3.0,0.0,1.0,3.0,5.0,1.0,18.0,0.0,0.0,0.0
gaussian-500d,10.0,2.0,2.0,1.0,2.0,11.0,68.0,59.0,64.0,1.0,0.0,27.0,28.0,1.0,30.0,31.0,28.0,27.0,30.0,30.0,64.0,80.0,54.0,52.0,54.0,41.0,29.0,24.0,5.0,9.0,38.0,50.0,14.0,86.0,0.0,2.0,4.0,3.0,4.0,5.0,2.0,2.0,6.0,0.0,0.0,0.0
sobol-300d,7.0,0.0,0.0,0.0,2.0,7.0,79.0,76.0,57.0,1.0,1.0,48.0,50.0,1.0,37.0,35.0,26.0,14.0,30.0,49.0,74.0,85.0,47.0,59.0,50.0,57.0,14.0,17.0,3.0,5.0,16.0,30.0,11.0,82.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0
