,diff_mean_02,diff_mean_05,diff_mean_10,diff_mean_25,diff_median_02,diff_median_05,diff_median_10,diff_median_25,dist_ratio.coeff_var,eps.max,eps.ratio,eps.s,expl_var.cor_init,expl_var.cor_x,expl_var.cov_init,expl_var.cov_x,expl_var_PC1.cor_init,expl_var_PC1.cor_x,expl_var_PC1.cov_init,expl_var_PC1.cov_x,h.max,kurtosis,lin_simple.adj_r2,lin_simple.coef.max,lin_simple.coef.max_by_min,lin_simple.coef.min,lin_simple.intercept,lin_w_interact.adj_r2,m0,nb_fitness.cor,nn_nb.cor,nn_nb.mean_ratio,nn_nb.sd_ratio,number_of_peaks,quad_simple.adj_r2,quad_simple.cond,quad_w_interact.adj_r2,ratio_mean_02,ratio_mean_05,ratio_mean_10,ratio_mean_25,ratio_median_02,ratio_median_05,ratio_median_10,ratio_median_25,skewness
psr-1500d,2.0,7.0,5.0,1.0,5.0,60.0,78.0,74.0,126.0,2.0,1.0,64.0,8.0,1.0,14.0,15.0,29.0,85.0,9.0,30.0,64.0,15.0,89.0,94.0,132.0,158.0,59.0,81.0,66.0,22.0,20.0,31.0,10.0,36.0,11.0,4.0,2.0,2.0,7.0,0.0,2.0,5.0,94.0,0.0,0.0,0.0
csa-1500d,1.0,8.0,2.0,2.0,7.0,58.0,78.0,84.0,137.0,2.0,1.0,69.0,6.0,0.0,7.0,14.0,43.0,84.0,8.0,37.0,64.0,10.0,88.0,111.0,107.0,155.0,59.0,69.0,75.0,11.0,32.0,44.0,6.0,42.0,7.0,3.0,0.0,1.0,8.0,0.0,4.0,3.0,73.0,0.0,0.0,0.0
psr-1000d,1.0,6.0,4.0,6.0,4.0,68.0,76.0,76.0,120.0,0.0,0.0,57.0,8.0,2.0,12.0,17.0,29.0,70.0,9.0,28.0,71.0,13.0,92.0,98.0,108.0,158.0,83.0,71.0,71.0,16.0,9.0,52.0,13.0,49.0,11.0,8.0,4.0,1.0,17.0,3.0,2.0,4.0,73.0,0.0,0.0,0.0
csa-1000d,2.0,11.0,0.0,1.0,5.0,61.0,73.0,84.0,135.0,3.0,1.0,72.0,9.0,1.0,14.0,16.0,36.0,69.0,10.0,33.0,66.0,15.0,98.0,116.0,97.0,156.0,81.0,64.0,72.0,13.0,22.0,34.0,7.0,52.0,16.0,6.0,1.0,1.0,5.0,3.0,1.0,1.0,57.0,0.0,0.0,0.0
psr-500d,6.0,13.0,6.0,4.0,3.0,66.0,67.0,83.0,85.0,3.0,4.0,40.0,19.0,2.0,16.0,25.0,29.0,50.0,14.0,34.0,83.0,6.0,91.0,110.0,69.0,140.0,119.0,52.0,49.0,50.0,11.0,96.0,12.0,68.0,28.0,9.0,5.0,3.0,18.0,5.0,6.0,6.0,15.0,0.0,0.0,0.0
csa-500d,1.0,22.0,6.0,2.0,4.0,43.0,61.0,69.0,114.0,4.0,2.0,53.0,20.0,0.0,19.0,13.0,28.0,85.0,14.0,33.0,78.0,11.0,108.0,115.0,65.0,141.0,117.0,31.0,61.0,44.0,17.0,86.0,8.0,78.0,24.0,10.0,3.0,0.0,4.0,4.0,5.0,3.0,14.0,0.0,0.0,0.0
psr-300d,6.0,25.0,25.0,21.0,4.0,86.0,42.0,87.0,61.0,6.0,8.0,12.0,23.0,25.0,59.0,26.0,12.0,40.0,25.0,64.0,77.0,16.0,53.0,44.0,47.0,72.0,59.0,73.0,46.0,47.0,9.0,42.0,74.0,83.0,48.0,15.0,22.0,16.0,22.0,30.0,20.0,9.0,39.0,0.0,0.0,0.0
csa-300d,7.0,24.0,19.0,14.0,10.0,72.0,58.0,70.0,71.0,9.0,6.0,27.0,10.0,6.0,72.0,16.0,31.0,64.0,10.0,60.0,65.0,13.0,61.0,78.0,73.0,83.0,95.0,63.0,37.0,41.0,17.0,55.0,59.0,68.0,38.0,18.0,12.0,19.0,13.0,12.0,15.0,8.0,21.0,0.0,0.0,0.0
psr-100d,4.0,18.0,31.0,3.0,5.0,19.0,142.0,127.0,99.0,10.0,1.0,60.0,37.0,0.0,31.0,50.0,47.0,11.0,18.0,70.0,57.0,23.0,56.0,75.0,70.0,75.0,126.0,31.0,23.0,15.0,4.0,90.0,25.0,88.0,24.0,18.0,7.0,0.0,10.0,2.0,1.0,0.0,17.0,0.0,0.0,0.0
csa-100d,5.0,17.0,16.0,4.0,12.0,32.0,106.0,120.0,87.0,9.0,12.0,28.0,32.0,2.0,41.0,38.0,44.0,18.0,22.0,104.0,46.0,46.0,70.0,74.0,97.0,79.0,93.0,38.0,24.0,29.0,0.0,83.0,31.0,93.0,9.0,9.0,5.0,7.0,7.0,5.0,4.0,4.0,18.0,0.0,0.0,0.0
psr-50d,8.0,12.0,24.0,1.0,0.0,52.0,139.0,106.0,103.0,3.0,3.0,35.0,14.0,0.0,2.0,29.0,52.0,47.0,20.0,74.0,107.0,7.0,123.0,98.0,70.0,78.0,59.0,52.0,21.0,22.0,9.0,71.0,17.0,33.0,24.0,13.0,3.0,1.0,21.0,13.0,2.0,9.0,43.0,0.0,0.0,0.0
csa-50d,5.0,14.0,24.0,0.0,5.0,42.0,146.0,99.0,115.0,5.0,6.0,36.0,20.0,0.0,11.0,23.0,61.0,28.0,34.0,46.0,66.0,20.0,66.0,71.0,72.0,59.0,85.0,70.0,53.0,32.0,7.0,90.0,23.0,102.0,21.0,19.0,3.0,2.0,7.0,4.0,4.0,6.0,18.0,0.0,0.0,0.0
