,diff_mean_02,diff_mean_05,diff_mean_10,diff_mean_25,diff_median_02,diff_median_05,diff_median_10,diff_median_25,dist_ratio.coeff_var,eps.max,eps.ratio,eps.s,expl_var.cor_init,expl_var.cor_x,expl_var.cov_init,expl_var.cov_x,expl_var_PC1.cor_init,expl_var_PC1.cor_x,expl_var_PC1.cov_init,expl_var_PC1.cov_x,h.max,kurtosis,lin_simple.adj_r2,lin_simple.coef.max,lin_simple.coef.max_by_min,lin_simple.coef.min,lin_simple.intercept,lin_w_interact.adj_r2,m0,nb_fitness.cor,nn_nb.cor,nn_nb.mean_ratio,nn_nb.sd_ratio,number_of_peaks,quad_simple.adj_r2,quad_simple.cond,quad_w_interact.adj_r2,ratio_mean_02,ratio_mean_05,ratio_mean_10,ratio_mean_25,ratio_median_02,ratio_median_05,ratio_median_10,ratio_median_25,skewness
mirrored pairwise-1500d,13.0,30.0,30.0,15.0,29.0,77.0,86.0,88.0,96.0,16.0,7.0,81.0,37.0,3.0,39.0,51.0,66.0,81.0,31.0,61.0,73.0,43.0,82.0,90.0,96.0,101.0,75.0,74.0,70.0,39.0,54.0,54.0,53.0,57.0,31.0,19.0,16.0,18.0,27.0,22.0,20.0,23.0,86.0,0.0,0.0,0.0
mirrored-1500d,16.0,35.0,17.0,16.0,17.0,72.0,77.0,77.0,100.0,17.0,11.0,87.0,23.0,8.0,38.0,47.0,73.0,89.0,22.0,56.0,76.0,33.0,75.0,85.0,100.0,107.0,75.0,77.0,87.0,48.0,57.0,59.0,50.0,62.0,28.0,19.0,16.0,20.0,41.0,20.0,15.0,27.0,85.0,0.0,0.0,0.0
None-1500d,22.0,36.0,11.0,17.0,23.0,71.0,74.0,77.0,101.0,14.0,6.0,88.0,30.0,10.0,35.0,48.0,63.0,85.0,36.0,60.0,77.0,40.0,83.0,90.0,100.0,108.0,88.0,78.0,73.0,35.0,47.0,70.0,34.0,67.0,26.0,20.0,13.0,20.0,27.0,19.0,29.0,24.0,85.0,0.0,0.0,0.0
mirrored pairwise-1000d,16.0,28.0,15.0,15.0,27.0,76.0,78.0,84.0,96.0,19.0,6.0,77.0,40.0,6.0,40.0,50.0,70.0,79.0,31.0,56.0,75.0,53.0,84.0,90.0,89.0,104.0,90.0,72.0,73.0,40.0,43.0,69.0,39.0,73.0,44.0,28.0,12.0,12.0,33.0,22.0,16.0,16.0,74.0,0.0,0.0,0.0
mirrored-1000d,13.0,31.0,18.0,20.0,20.0,79.0,82.0,81.0,97.0,18.0,12.0,85.0,28.0,17.0,41.0,51.0,70.0,79.0,33.0,43.0,69.0,35.0,86.0,86.0,94.0,108.0,90.0,77.0,75.0,44.0,41.0,59.0,38.0,58.0,50.0,25.0,18.0,14.0,38.0,17.0,20.0,26.0,74.0,0.0,0.0,0.0
None-1000d,18.0,31.0,20.0,14.0,17.0,70.0,67.0,79.0,96.0,15.0,10.0,81.0,29.0,12.0,40.0,52.0,68.0,87.0,35.0,59.0,71.0,40.0,94.0,90.0,95.0,108.0,88.0,75.0,78.0,46.0,39.0,67.0,34.0,67.0,48.0,25.0,17.0,16.0,29.0,16.0,22.0,10.0,85.0,0.0,0.0,0.0
mirrored pairwise-500d,17.0,49.0,25.0,12.0,16.0,72.0,78.0,79.0,76.0,23.0,12.0,79.0,40.0,7.0,39.0,53.0,65.0,70.0,49.0,63.0,84.0,33.0,80.0,98.0,81.0,100.0,96.0,51.0,62.0,57.0,51.0,88.0,27.0,72.0,45.0,38.0,18.0,11.0,40.0,23.0,25.0,11.0,45.0,0.0,0.0,0.0
mirrored-500d,15.0,47.0,29.0,21.0,17.0,70.0,66.0,73.0,87.0,17.0,12.0,83.0,53.0,10.0,49.0,47.0,57.0,71.0,56.0,47.0,76.0,29.0,89.0,89.0,78.0,95.0,99.0,52.0,67.0,58.0,46.0,82.0,34.0,75.0,57.0,32.0,25.0,14.0,31.0,19.0,26.0,18.0,42.0,0.0,0.0,0.0
None-500d,11.0,48.0,26.0,20.0,13.0,67.0,65.0,76.0,94.0,15.0,10.0,81.0,50.0,8.0,40.0,46.0,68.0,80.0,48.0,49.0,80.0,30.0,90.0,89.0,63.0,100.0,99.0,58.0,70.0,64.0,44.0,81.0,22.0,85.0,56.0,37.0,24.0,18.0,31.0,16.0,19.0,25.0,44.0,0.0,0.0,0.0
mirrored pairwise-300d,25.0,37.0,44.0,39.0,21.0,75.0,63.0,79.0,71.0,24.0,26.0,41.0,46.0,29.0,63.0,39.0,44.0,53.0,37.0,71.0,86.0,37.0,67.0,48.0,69.0,76.0,76.0,65.0,54.0,62.0,28.0,60.0,69.0,81.0,62.0,47.0,31.0,28.0,41.0,39.0,37.0,18.0,52.0,0.0,0.0,0.0
