,diff_mean_02,diff_mean_05,diff_mean_10,diff_mean_25,diff_median_02,diff_median_05,diff_median_10,diff_median_25,dist_ratio.coeff_var,eps.max,eps.ratio,eps.s,expl_var.cor_init,expl_var.cor_x,expl_var.cov_init,expl_var.cov_x,expl_var_PC1.cor_init,expl_var_PC1.cor_x,expl_var_PC1.cov_init,expl_var_PC1.cov_x,h.max,kurtosis,lin_simple.adj_r2,lin_simple.coef.max,lin_simple.coef.max_by_min,lin_simple.coef.min,lin_simple.intercept,lin_w_interact.adj_r2,m0,nb_fitness.cor,nn_nb.cor,nn_nb.mean_ratio,nn_nb.sd_ratio,number_of_peaks,quad_simple.adj_r2,quad_simple.cond,quad_w_interact.adj_r2,ratio_mean_02,ratio_mean_05,ratio_mean_10,ratio_mean_25,ratio_median_02,ratio_median_05,ratio_median_10,ratio_median_25,skewness
equal-1500d,43.0,38.0,19.0,17.0,27.0,30.0,92.0,76.0,66.0,7.0,13.0,40.0,42.0,9.0,14.0,47.0,48.0,36.0,59.0,37.0,67.0,53.0,78.0,74.0,44.0,40.0,50.0,46.0,25.0,34.0,26.0,71.0,25.0,71.0,6.0,8.0,13.0,16.0,24.0,10.0,16.0,7.0,56.0,0.0,0.0,0.0
default-1500d,50.0,26.0,13.0,11.0,47.0,27.0,95.0,78.0,70.0,3.0,9.0,36.0,55.0,3.0,25.0,60.0,52.0,31.0,46.0,34.0,59.0,45.0,76.0,72.0,31.0,53.0,48.0,35.0,26.0,44.0,61.0,63.0,17.0,65.0,12.0,6.0,10.0,37.0,18.0,13.0,14.0,19.0,25.0,0.0,0.0,0.0
1/2^lambda-1500d,66.0,40.0,20.0,10.0,54.0,39.0,76.0,57.0,78.0,6.0,2.0,37.0,45.0,3.0,31.0,43.0,32.0,18.0,28.0,22.0,59.0,49.0,67.0,45.0,29.0,37.0,38.0,33.0,24.0,57.0,64.0,67.0,27.0,87.0,18.0,22.0,16.0,46.0,35.0,12.0,19.0,43.0,19.0,0.0,0.0,0.0
equal-1000d,32.0,46.0,21.0,7.0,34.0,20.0,67.0,59.0,67.0,9.0,15.0,37.0,44.0,7.0,19.0,42.0,43.0,32.0,62.0,40.0,73.0,63.0,68.0,60.0,61.0,48.0,26.0,31.0,33.0,33.0,42.0,63.0,29.0,98.0,12.0,13.0,16.0,33.0,32.0,9.0,9.0,23.0,42.0,0.0,0.0,0.0
default-1000d,57.0,51.0,31.0,14.0,50.0,32.0,61.0,51.0,72.0,6.0,7.0,40.0,54.0,6.0,19.0,44.0,42.0,19.0,33.0,31.0,35.0,63.0,63.0,67.0,32.0,21.0,29.0,33.0,18.0,57.0,68.0,68.0,30.0,87.0,8.0,18.0,24.0,45.0,46.0,22.0,13.0,30.0,23.0,0.0,0.0,0.0
1/2^lambda-1000d,54.0,57.0,28.0,15.0,39.0,51.0,54.0,47.0,83.0,9.0,4.0,49.0,63.0,4.0,23.0,47.0,34.0,15.0,30.0,20.0,42.0,73.0,63.0,77.0,14.0,27.0,35.0,42.0,25.0,65.0,58.0,44.0,33.0,97.0,9.0,7.0,26.0,40.0,44.0,9.0,14.0,32.0,18.0,0.0,0.0,0.0
equal-500d,16.0,14.0,8.0,8.0,3.0,23.0,78.0,83.0,89.0,7.0,19.0,65.0,52.0,5.0,52.0,50.0,55.0,21.0,40.0,42.0,97.0,91.0,79.0,88.0,58.0,65.0,35.0,43.0,24.0,13.0,16.0,60.0,31.0,100.0,4.0,6.0,16.0,9.0,11.0,6.0,10.0,3.0,25.0,0.0,0.0,0.0
default-500d,23.0,12.0,6.0,8.0,14.0,23.0,92.0,74.0,78.0,4.0,9.0,46.0,59.0,4.0,55.0,49.0,44.0,47.0,57.0,54.0,86.0,87.0,79.0,64.0,58.0,66.0,40.0,33.0,21.0,21.0,52.0,60.0,21.0,87.0,2.0,4.0,7.0,14.0,14.0,9.0,8.0,6.0,23.0,0.0,0.0,0.0
1/2^lambda-500d,25.0,5.0,10.0,7.0,9.0,29.0,97.0,71.0,82.0,7.0,10.0,46.0,50.0,4.0,52.0,46.0,39.0,37.0,59.0,52.0,86.0,99.0,62.0,74.0,74.0,70.0,34.0,49.0,19.0,31.0,52.0,53.0,25.0,94.0,0.0,5.0,12.0,7.0,3.0,9.0,6.0,4.0,15.0,0.0,0.0,0.0
equal-300d,19.0,2.0,3.0,5.0,2.0,27.0,83.0,80.0,84.0,9.0,16.0,49.0,79.0,4.0,50.0,61.0,58.0,18.0,44.0,51.0,104.0,96.0,76.0,82.0,64.0,78.0,20.0,42.0,33.0,32.0,12.0,46.0,26.0,103.0,9.0,3.0,5.0,3.0,4.0,3.0,2.0,5.0,28.0,0.0,0.0,0.0
default-300d,22.0,13.0,3.0,5.0,6.0,20.0,97.0,90.0,66.0,4.0,11.0,66.0,63.0,0.0,75.0,48.0,44.0,39.0,57.0,67.0,88.0,91.0,66.0,67.0,70.0,78.0,20.0,32.0,24.0,14.0,41.0,51.0,27.0,99.0,5.0,2.0,4.0,6.0,8.0,3.0,8.0,3.0,17.0,0.0,0.0,0.0
1/2^lambda-300d,18.0,13.0,3.0,6.0,5.0,28.0,96.0,99.0,78.0,7.0,9.0,50.0,68.0,8.0,70.0,47.0,43.0,12.0,53.0,58.0,103.0,97.0,73.0,86.0,80.0,75.0,18.0,56.0,22.0,25.0,24.0,28.0,23.0,89.0,6.0,4.0,7.0,4.0,4.0,5.0,5.0,4.0,11.0,0.0,0.0,0.0
equal-100d,18.0,26.0,9.0,5.0,11.0,34.0,95.0,91.0,75.0,6.0,3.0,66.0,81.0,0.0,22.0,71.0,69.0,22.0,29.0,46.0,106.0,93.0,90.0,102.0,34.0,89.0,36.0,45.0,26.0,20.0,11.0,7.0,48.0,54.0,15.0,2.0,3.0,14.0,9.0,6.0,6.0,4.0,21.0,0.0,0.0,0.0
default-100d,31.0,12.0,4.0,5.0,25.0,22.0,91.0,105.0,73.0,2.0,9.0,60.0,65.0,7.0,37.0,73.0,55.0,26.0,22.0,46.0,105.0,98.0,93.0,87.0,31.0,91.0,41.0,51.0,42.0,18.0,12.0,6.0,38.0,55.0,17.0,5.0,3.0,5.0,11.0,5.0,11.0,5.0,20.0,0.0,0.0,0.0
1/2^lambda-100d,25.0,12.0,1.0,7.0,7.0,35.0,107.0,105.0,81.0,4.0,6.0,41.0,55.0,1.0,41.0,60.0,53.0,41.0,12.0,33.0,108.0,99.0,92.0,92.0,36.0,91.0,61.0,68.0,33.0,14.0,15.0,12.0,55.0,66.0,7.0,0.0,2.0,3.0,9.0,3.0,8.0,2.0,17.0,0.0,0.0,0.0
equal-50d,6.0,63.0,15.0,4.0,4.0,20.0,94.0,94.0,46.0,11.0,17.0,89.0,72.0,10.0,3.0,85.0,93.0,50.0,82.0,10.0,107.0,54.0,108.0,87.0,18.0,76.0,18.0,34.0,2.0,21.0,37.0,5.0,6.0,52.0,2.0,1.0,7.0,5.0,21.0,16.0,6.0,4.0,65.0,0.0,0.0,0.0
default-50d,3.0,59.0,7.0,9.0,1.0,6.0,98.0,90.0,62.0,24.0,14.0,77.0,82.0,23.0,17.0,81.0,93.0,33.0,74.0,6.0,108.0,60.0,103.0,92.0,22.0,84.0,27.0,24.0,12.0,14.0,40.0,9.0,9.0,49.0,3.0,1.0,0.0,1.0,28.0,11.0,3.0,3.0,58.0,0.0,0.0,0.0
1/2^lambda-50d,0.0,57.0,10.0,7.0,2.0,12.0,102.0,96.0,45.0,32.0,10.0,89.0,79.0,12.0,1.0,95.0,95.0,41.0,85.0,5.0,108.0,77.0,108.0,89.0,15.0,71.0,22.0,26.0,5.0,8.0,41.0,3.0,18.0,44.0,0.0,2.0,0.0,0.0,28.0,10.0,10.0,0.0,60.0,0.0,0.0,0.0
