,diff_mean_02,diff_mean_05,diff_mean_10,diff_mean_25,diff_median_02,diff_median_05,diff_median_10,diff_median_25,dist_ratio.coeff_var,eps.max,eps.ratio,eps.s,expl_var.cor_init,expl_var.cor_x,expl_var.cov_init,expl_var.cov_x,expl_var_PC1.cor_init,expl_var_PC1.cor_x,expl_var_PC1.cov_init,expl_var_PC1.cov_x,h.max,kurtosis,lin_simple.adj_r2,lin_simple.coef.max,lin_simple.coef.max_by_min,lin_simple.coef.min,lin_simple.intercept,lin_w_interact.adj_r2,m0,nb_fitness.cor,nn_nb.cor,nn_nb.mean_ratio,nn_nb.sd_ratio,number_of_peaks,quad_simple.adj_r2,quad_simple.cond,quad_w_interact.adj_r2,ratio_mean_02,ratio_mean_05,ratio_mean_10,ratio_mean_25,ratio_median_02,ratio_median_05,ratio_median_10,ratio_median_25,skewness
equal-1500d,15.0,28.0,16.0,17.0,13.0,72.0,87.0,80.0,89.0,21.0,8.0,86.0,40.0,9.0,36.0,46.0,58.0,76.0,38.0,71.0,69.0,42.0,88.0,90.0,92.0,101.0,80.0,79.0,84.0,41.0,38.0,62.0,55.0,69.0,37.0,27.0,20.0,18.0,29.0,14.0,21.0,14.0,84.0,0.0,0.0,0.0
default-1500d,18.0,36.0,19.0,17.0,18.0,76.0,72.0,86.0,104.0,11.0,12.0,85.0,24.0,8.0,34.0,52.0,73.0,87.0,26.0,58.0,82.0,39.0,73.0,88.0,102.0,108.0,85.0,71.0,70.0,42.0,53.0,64.0,41.0,63.0,24.0,15.0,17.0,22.0,27.0,17.0,23.0,33.0,85.0,0.0,0.0,0.0
1/2^lambda-1500d,18.0,37.0,23.0,14.0,38.0,72.0,78.0,76.0,104.0,15.0,4.0,85.0,26.0,4.0,42.0,48.0,71.0,92.0,25.0,48.0,75.0,35.0,79.0,87.0,102.0,107.0,73.0,79.0,76.0,39.0,67.0,57.0,41.0,54.0,24.0,16.0,8.0,18.0,39.0,30.0,20.0,27.0,87.0,0.0,0.0,0.0
equal-1000d,10.0,32.0,18.0,18.0,19.0,73.0,82.0,85.0,89.0,24.0,13.0,79.0,33.0,16.0,39.0,38.0,60.0,76.0,36.0,54.0,73.0,55.0,87.0,89.0,89.0,105.0,87.0,73.0,77.0,45.0,32.0,65.0,44.0,72.0,54.0,35.0,19.0,9.0,34.0,13.0,23.0,15.0,71.0,0.0,0.0,0.0
default-1000d,15.0,29.0,13.0,17.0,21.0,77.0,76.0,80.0,99.0,14.0,7.0,86.0,30.0,8.0,34.0,56.0,78.0,90.0,33.0,55.0,67.0,40.0,94.0,92.0,92.0,108.0,92.0,73.0,72.0,47.0,42.0,68.0,39.0,66.0,41.0,16.0,8.0,22.0,36.0,19.0,17.0,18.0,73.0,0.0,0.0,0.0
1/2^lambda-1000d,22.0,29.0,22.0,14.0,24.0,75.0,69.0,79.0,101.0,14.0,8.0,78.0,34.0,11.0,48.0,59.0,70.0,79.0,30.0,49.0,75.0,33.0,83.0,85.0,97.0,107.0,89.0,78.0,77.0,38.0,49.0,62.0,28.0,60.0,47.0,27.0,20.0,11.0,30.0,23.0,18.0,19.0,89.0,0.0,0.0,0.0
equal-500d,17.0,43.0,30.0,24.0,20.0,67.0,75.0,84.0,86.0,21.0,9.0,70.0,35.0,11.0,51.0,43.0,54.0,66.0,51.0,57.0,78.0,39.0,87.0,85.0,66.0,87.0,89.0,56.0,71.0,66.0,33.0,74.0,47.0,80.0,49.0,38.0,27.0,19.0,36.0,17.0,31.0,20.0,51.0,0.0,0.0,0.0
default-500d,14.0,55.0,29.0,13.0,15.0,70.0,62.0,68.0,85.0,18.0,14.0,88.0,51.0,7.0,45.0,47.0,72.0,79.0,54.0,52.0,87.0,30.0,88.0,92.0,73.0,106.0,104.0,50.0,68.0,57.0,51.0,85.0,16.0,76.0,46.0,26.0,20.0,12.0,30.0,19.0,25.0,22.0,39.0,0.0,0.0,0.0
1/2^lambda-500d,12.0,46.0,21.0,16.0,11.0,72.0,72.0,76.0,86.0,16.0,11.0,85.0,57.0,7.0,32.0,56.0,64.0,76.0,48.0,50.0,75.0,23.0,84.0,99.0,83.0,102.0,101.0,55.0,60.0,56.0,57.0,92.0,20.0,76.0,63.0,43.0,20.0,12.0,36.0,22.0,14.0,12.0,41.0,0.0,0.0,0.0
equal-300d,10.0,48.0,43.0,44.0,21.0,66.0,71.0,93.0,72.0,32.0,26.0,53.0,45.0,24.0,55.0,31.0,57.0,70.0,36.0,75.0,78.0,35.0,68.0,70.0,74.0,78.0,76.0,59.0,43.0,54.0,38.0,60.0,51.0,62.0,54.0,28.0,28.0,31.0,35.0,35.0,37.0,28.0,66.0,0.0,0.0,0.0
