,diff_mean_02,diff_mean_05,diff_mean_10,diff_mean_25,diff_median_02,diff_median_05,diff_median_10,diff_median_25,dist_ratio.coeff_var,eps.max,eps.ratio,eps.s,expl_var.cor_init,expl_var.cor_x,expl_var.cov_init,expl_var.cov_x,expl_var_PC1.cor_init,expl_var_PC1.cor_x,expl_var_PC1.cov_init,expl_var_PC1.cov_x,h.max,kurtosis,lin_simple.adj_r2,lin_simple.coef.max,lin_simple.coef.max_by_min,lin_simple.coef.min,lin_simple.intercept,lin_w_interact.adj_r2,m0,nb_fitness.cor,nn_nb.cor,nn_nb.mean_ratio,nn_nb.sd_ratio,number_of_peaks,quad_simple.adj_r2,quad_simple.cond,quad_w_interact.adj_r2,ratio_mean_02,ratio_mean_05,ratio_mean_10,ratio_mean_25,ratio_median_02,ratio_median_05,ratio_median_10,ratio_median_25,skewness
mirrored pairwise-1500d,39.0,14.0,4.0,3.0,28.0,19.0,84.0,59.0,54.0,2.0,2.0,20.0,28.0,1.0,17.0,35.0,28.0,8.0,33.0,19.0,44.0,29.0,51.0,42.0,22.0,17.0,30.0,23.0,13.0,32.0,45.0,62.0,13.0,67.0,0.0,3.0,9.0,24.0,9.0,6.0,3.0,11.0,28.0,0.0,0.0,0.0
mirrored-1500d,41.0,15.0,11.0,6.0,24.0,15.0,82.0,52.0,57.0,3.0,3.0,16.0,29.0,3.0,4.0,34.0,25.0,15.0,22.0,18.0,43.0,17.0,59.0,56.0,29.0,29.0,25.0,23.0,13.0,31.0,37.0,65.0,14.0,57.0,5.0,8.0,6.0,18.0,16.0,5.0,11.0,16.0,22.0,0.0,0.0,0.0
None-1500d,37.0,15.0,4.0,4.0,29.0,17.0,77.0,71.0,58.0,0.0,2.0,22.0,29.0,4.0,12.0,26.0,36.0,15.0,30.0,17.0,51.0,24.0,70.0,50.0,17.0,28.0,35.0,18.0,10.0,31.0,40.0,41.0,12.0,59.0,4.0,3.0,8.0,13.0,19.0,3.0,8.0,15.0,16.0,0.0,0.0,0.0
mirrored pairwise-1000d,40.0,27.0,15.0,3.0,30.0,17.0,43.0,34.0,65.0,1.0,1.0,26.0,33.0,4.0,10.0,30.0,33.0,7.0,24.0,16.0,32.0,53.0,44.0,51.0,21.0,19.0,20.0,20.0,15.0,34.0,52.0,42.0,18.0,81.0,5.0,4.0,16.0,36.0,18.0,1.0,4.0,18.0,17.0,0.0,0.0,0.0
mirrored-1000d,32.0,29.0,17.0,4.0,24.0,21.0,47.0,43.0,61.0,4.0,5.0,20.0,33.0,1.0,13.0,27.0,18.0,12.0,23.0,15.0,46.0,39.0,57.0,66.0,27.0,12.0,21.0,15.0,12.0,33.0,37.0,44.0,21.0,77.0,5.0,6.0,15.0,29.0,25.0,10.0,6.0,12.0,16.0,0.0,0.0,0.0
None-1000d,27.0,31.0,17.0,5.0,24.0,18.0,69.0,44.0,59.0,0.0,5.0,22.0,28.0,1.0,4.0,28.0,26.0,14.0,25.0,21.0,47.0,38.0,58.0,53.0,26.0,18.0,22.0,21.0,6.0,37.0,47.0,48.0,13.0,81.0,2.0,6.0,8.0,26.0,20.0,2.0,4.0,8.0,21.0,0.0,0.0,0.0
mirrored pairwise-500d,12.0,1.0,1.0,3.0,1.0,8.0,73.0,59.0,69.0,1.0,1.0,38.0,28.0,2.0,29.0,34.0,36.0,20.0,34.0,31.0,81.0,71.0,48.0,62.0,36.0,39.0,22.0,33.0,9.0,8.0,24.0,48.0,15.0,77.0,0.0,1.0,5.0,2.0,3.0,3.0,3.0,0.0,9.0,0.0,0.0,0.0
mirrored-500d,9.0,3.0,3.0,1.0,4.0,19.0,79.0,68.0,73.0,2.0,7.0,28.0,34.0,2.0,20.0,31.0,27.0,27.0,27.0,28.0,72.0,73.0,56.0,63.0,41.0,35.0,21.0,20.0,6.0,9.0,28.0,41.0,15.0,86.0,1.0,2.0,5.0,2.0,1.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0
None-500d,11.0,6.0,3.0,3.0,2.0,9.0,84.0,59.0,71.0,1.0,3.0,25.0,26.0,0.0,28.0,30.0,20.0,19.0,21.0,28.0,74.0,76.0,72.0,64.0,42.0,38.0,22.0,20.0,4.0,6.0,35.0,49.0,8.0,88.0,0.0,1.0,2.0,3.0,3.0,5.0,6.0,2.0,11.0,0.0,0.0,0.0
mirrored pairwise-300d,7.0,2.0,1.0,2.0,0.0,11.0,81.0,78.0,58.0,2.0,1.0,26.0,44.0,0.0,30.0,34.0,35.0,17.0,35.0,32.0,85.0,70.0,51.0,71.0,41.0,59.0,6.0,26.0,9.0,13.0,10.0,25.0,10.0,83.0,6.0,1.0,0.0,0.0,3.0,0.0,1.0,3.0,11.0,0.0,0.0,0.0
