,diff_mean_02,diff_mean_05,diff_mean_10,diff_mean_25,diff_median_02,diff_median_05,diff_median_10,diff_median_25,dist_ratio.coeff_var,eps.max,eps.ratio,eps.s,expl_var.cor_init,expl_var.cor_x,expl_var.cov_init,expl_var.cov_x,expl_var_PC1.cor_init,expl_var_PC1.cor_x,expl_var_PC1.cov_init,expl_var_PC1.cov_x,h.max,kurtosis,lin_simple.adj_r2,lin_simple.coef.max,lin_simple.coef.max_by_min,lin_simple.coef.min,lin_simple.intercept,lin_w_interact.adj_r2,m0,nb_fitness.cor,nn_nb.cor,nn_nb.mean_ratio,nn_nb.sd_ratio,number_of_peaks,quad_simple.adj_r2,quad_simple.cond,quad_w_interact.adj_r2,ratio_mean_02,ratio_mean_05,ratio_mean_10,ratio_mean_25,ratio_median_02,ratio_median_05,ratio_median_10,ratio_median_25,skewness
None-1500d,5.0,22.0,6.0,6.0,9.0,73.0,69.0,69.0,94.0,9.0,3.0,65.0,19.0,2.0,23.0,32.0,38.0,61.0,17.0,42.0,49.0,18.0,72.0,86.0,92.0,105.0,70.0,75.0,79.0,17.0,27.0,42.0,23.0,46.0,19.0,6.0,3.0,9.0,18.0,10.0,8.0,8.0,74.0,0.0,0.0,0.0
IPOP-1500d,3.0,14.0,8.0,9.0,7.0,60.0,70.0,72.0,97.0,8.0,1.0,64.0,9.0,1.0,33.0,18.0,46.0,83.0,18.0,46.0,57.0,18.0,65.0,75.0,92.0,106.0,57.0,61.0,67.0,25.0,39.0,48.0,28.0,51.0,9.0,6.0,7.0,9.0,20.0,10.0,8.0,8.0,87.0,0.0,0.0,0.0
BIPOP-1500d,7.0,15.0,7.0,4.0,18.0,45.0,58.0,63.0,95.0,5.0,2.0,80.0,20.0,1.0,15.0,30.0,55.0,80.0,16.0,45.0,78.0,27.0,80.0,74.0,95.0,103.0,76.0,55.0,44.0,31.0,42.0,43.0,21.0,47.0,15.0,10.0,5.0,8.0,12.0,5.0,8.0,16.0,64.0,0.0,0.0,0.0
None-1000d,3.0,17.0,4.0,6.0,9.0,72.0,60.0,75.0,89.0,12.0,3.0,58.0,14.0,0.0,25.0,32.0,49.0,58.0,22.0,33.0,56.0,18.0,78.0,82.0,88.0,105.0,84.0,70.0,76.0,24.0,20.0,49.0,18.0,55.0,32.0,11.0,4.0,4.0,23.0,8.0,5.0,2.0,67.0,0.0,0.0,0.0
IPOP-1000d,6.0,12.0,7.0,10.0,6.0,66.0,72.0,72.0,97.0,10.0,2.0,62.0,11.0,5.0,28.0,25.0,50.0,75.0,18.0,40.0,64.0,29.0,73.0,81.0,80.0,107.0,69.0,57.0,68.0,20.0,28.0,53.0,16.0,57.0,15.0,13.0,2.0,4.0,16.0,4.0,10.0,10.0,70.0,0.0,0.0,0.0
BIPOP-1000d,8.0,17.0,9.0,9.0,16.0,51.0,62.0,70.0,95.0,0.0,1.0,84.0,18.0,3.0,21.0,35.0,55.0,79.0,12.0,42.0,67.0,24.0,75.0,83.0,85.0,106.0,75.0,57.0,55.0,32.0,28.0,43.0,20.0,49.0,26.0,12.0,8.0,6.0,12.0,3.0,5.0,8.0,54.0,0.0,0.0,0.0
None-500d,6.0,26.0,15.0,13.0,6.0,61.0,51.0,60.0,80.0,8.0,5.0,50.0,30.0,1.0,34.0,24.0,46.0,53.0,35.0,40.0,82.0,12.0,81.0,80.0,57.0,96.0,89.0,43.0,51.0,51.0,34.0,68.0,19.0,66.0,29.0,17.0,15.0,5.0,25.0,7.0,16.0,8.0,25.0,0.0,0.0,0.0
IPOP-500d,4.0,26.0,12.0,3.0,9.0,58.0,62.0,73.0,71.0,9.0,5.0,61.0,33.0,4.0,17.0,31.0,41.0,70.0,25.0,35.0,68.0,17.0,74.0,88.0,66.0,97.0,93.0,46.0,62.0,34.0,25.0,81.0,14.0,64.0,39.0,19.0,5.0,5.0,16.0,13.0,12.0,8.0,25.0,0.0,0.0,0.0
BIPOP-500d,11.0,28.0,10.0,7.0,4.0,53.0,61.0,63.0,79.0,10.0,3.0,64.0,22.0,2.0,19.0,27.0,44.0,59.0,28.0,43.0,66.0,17.0,79.0,86.0,70.0,98.0,96.0,43.0,57.0,50.0,21.0,77.0,15.0,65.0,46.0,17.0,14.0,3.0,16.0,10.0,8.0,6.0,23.0,0.0,0.0,0.0
None-300d,7.0,28.0,29.0,27.0,11.0,69.0,48.0,66.0,60.0,17.0,12.0,19.0,21.0,23.0,54.0,26.0,22.0,52.0,24.0,58.0,56.0,22.0,48.0,50.0,58.0,62.0,73.0,62.0,38.0,49.0,23.0,48.0,48.0,70.0,47.0,24.0,20.0,16.0,25.0,30.0,23.0,13.0,42.0,0.0,0.0,0.0
IPOP-300d,13.0,34.0,27.0,20.0,10.0,74.0,50.0,74.0,57.0,13.0,10.0,25.0,26.0,21.0,53.0,22.0,28.0,46.0,28.0,54.0,75.0,21.0,53.0,52.0,63.0,68.0,67.0,55.0,39.0,41.0,19.0,37.0,61.0,61.0,51.0,26.0,19.0,14.0,25.0,20.0,22.0,14.0,32.0,0.0,0.0,0.0
BIPOP-300d,12.0,26.0,25.0,27.0,15.0,71.0,50.0,68.0,63.0,19.0,15.0,28.0,23.0,16.0,58.0,24.0,36.0,42.0,24.0,59.0,67.0,17.0,51.0,49.0,61.0,69.0,63.0,52.0,40.0,44.0,17.0,56.0,56.0,62.0,38.0,17.0,21.0,18.0,21.0,22.0,28.0,15.0,35.0,0.0,0.0,0.0
