,conf,dim,budget,test_mse
0,430,5,250,0.23115439902284973
1,430,5,500,0.2822152388176418
2,430,5,1500,0.43947346200272525
3,430,5,2500,0.4158920481029839
4,430,5,5000,0.29357672354773473
5,430,5,7500,0.3255747383969537
6,430,30,1500,0.12321724178952653
7,430,30,3000,0.1292158668197362
8,430,30,9000,0.14534834331976512
9,430,30,15000,0.16843292021990033
10,430,30,30000,0.7277971756011518
11,430,30,45000,0.14061668777850023
