,conf,dim,budget,test_mse
0,396,5,250,0.27911568145996507
1,396,5,500,0.2350822736898067
2,396,5,1500,0.2135814657366534
3,396,5,2500,0.44002353724696625
4,396,5,5000,0.3591542295879108
5,396,5,7500,0.32032695407923945
6,396,30,1500,0.1325390704999407
7,396,30,3000,0.10480192125915562
8,396,30,9000,0.13924757030452833
9,396,30,15000,0.16170614621008972
10,396,30,30000,0.11972116040450373
11,396,30,45000,0.17459360550308894
