,diff_mean_02,diff_mean_05,diff_mean_10,diff_mean_25,diff_median_02,diff_median_05,diff_median_10,diff_median_25,dist_ratio.coeff_var,eps.max,eps.ratio,eps.s,expl_var.cor_init,expl_var.cor_x,expl_var.cov_init,expl_var.cov_x,expl_var_PC1.cor_init,expl_var_PC1.cor_x,expl_var_PC1.cov_init,expl_var_PC1.cov_x,h.max,kurtosis,lin_simple.adj_r2,lin_simple.coef.max,lin_simple.coef.max_by_min,lin_simple.coef.min,lin_simple.intercept,lin_w_interact.adj_r2,m0,nb_fitness.cor,nn_nb.cor,nn_nb.mean_ratio,nn_nb.sd_ratio,number_of_peaks,quad_simple.adj_r2,quad_simple.cond,quad_w_interact.adj_r2,ratio_mean_02,ratio_mean_05,ratio_mean_10,ratio_mean_25,ratio_median_02,ratio_median_05,ratio_median_10,ratio_median_25,skewness
shade-1500d,2.0,7.0,1.0,4.0,14.0,34.0,139.0,132.0,63.0,6.0,11.0,46.0,22.0,3.0,89.0,38.0,28.0,31.0,54.0,58.0,83.0,82.0,133.0,90.0,110.0,67.0,29.0,63.0,17.0,13.0,29.0,134.0,52.0,160.0,3.0,3.0,6.0,7.0,4.0,4.0,2.0,6.0,41.0,0.0,0.0,0.0
jDE-1500d,8.0,9.0,0.0,3.0,19.0,13.0,149.0,141.0,69.0,5.0,3.0,41.0,20.0,5.0,48.0,27.0,28.0,39.0,104.0,90.0,102.0,57.0,152.0,94.0,78.0,97.0,32.0,41.0,18.0,21.0,59.0,124.0,40.0,131.0,1.0,5.0,4.0,4.0,0.0,3.0,1.0,2.0,33.0,0.0,0.0,0.0
None-1500d,3.0,5.0,8.0,11.0,28.0,25.0,144.0,143.0,74.0,2.0,4.0,33.0,22.0,2.0,23.0,27.0,33.0,39.0,80.0,80.0,127.0,53.0,158.0,95.0,73.0,88.0,27.0,42.0,14.0,30.0,59.0,132.0,41.0,129.0,3.0,4.0,7.0,4.0,4.0,3.0,5.0,6.0,30.0,0.0,0.0,0.0
shade-1000d,5.0,4.0,6.0,9.0,23.0,32.0,149.0,134.0,58.0,5.0,5.0,27.0,17.0,3.0,61.0,30.0,14.0,18.0,63.0,70.0,80.0,68.0,151.0,113.0,90.0,106.0,25.0,52.0,16.0,32.0,35.0,143.0,50.0,152.0,2.0,3.0,4.0,10.0,1.0,2.0,4.0,10.0,38.0,0.0,0.0,0.0
jDE-1000d,4.0,5.0,2.0,11.0,23.0,17.0,152.0,145.0,77.0,2.0,3.0,32.0,16.0,3.0,44.0,20.0,33.0,27.0,110.0,86.0,94.0,52.0,142.0,107.0,87.0,101.0,30.0,40.0,16.0,27.0,68.0,110.0,28.0,143.0,0.0,8.0,4.0,6.0,7.0,2.0,4.0,7.0,25.0,0.0,0.0,0.0
None-1000d,2.0,3.0,8.0,8.0,24.0,14.0,142.0,149.0,84.0,0.0,4.0,26.0,27.0,0.0,21.0,21.0,35.0,36.0,103.0,86.0,109.0,42.0,162.0,107.0,88.0,111.0,31.0,19.0,7.0,22.0,65.0,125.0,26.0,127.0,2.0,9.0,8.0,13.0,4.0,2.0,7.0,9.0,32.0,0.0,0.0,0.0
shade-500d,5.0,6.0,2.0,22.0,13.0,15.0,156.0,159.0,79.0,2.0,2.0,25.0,19.0,1.0,34.0,26.0,42.0,29.0,92.0,64.0,126.0,46.0,133.0,113.0,100.0,87.0,33.0,57.0,14.0,22.0,44.0,91.0,34.0,147.0,5.0,4.0,4.0,6.0,8.0,5.0,17.0,10.0,21.0,0.0,0.0,0.0
jDE-500d,3.0,8.0,3.0,35.0,9.0,18.0,154.0,147.0,79.0,0.0,2.0,33.0,24.0,0.0,25.0,20.0,51.0,36.0,120.0,78.0,120.0,29.0,141.0,121.0,73.0,95.0,35.0,52.0,11.0,13.0,66.0,71.0,28.0,127.0,2.0,3.0,6.0,1.0,4.0,0.0,34.0,2.0,41.0,0.0,0.0,0.0
None-500d,3.0,7.0,5.0,27.0,9.0,14.0,148.0,154.0,60.0,0.0,4.0,35.0,28.0,4.0,15.0,28.0,51.0,46.0,113.0,69.0,102.0,31.0,139.0,129.0,85.0,100.0,34.0,49.0,11.0,21.0,61.0,80.0,35.0,131.0,2.0,5.0,9.0,6.0,4.0,1.0,24.0,4.0,37.0,0.0,0.0,0.0
shade-300d,6.0,7.0,7.0,16.0,12.0,27.0,147.0,145.0,81.0,1.0,2.0,37.0,25.0,2.0,11.0,29.0,67.0,57.0,106.0,38.0,125.0,29.0,154.0,117.0,60.0,87.0,26.0,76.0,11.0,23.0,77.0,77.0,24.0,118.0,2.0,5.0,3.0,10.0,4.0,8.0,17.0,5.0,39.0,0.0,0.0,0.0
