,diff_mean_02,diff_mean_05,diff_mean_10,diff_mean_25,diff_median_02,diff_median_05,diff_median_10,diff_median_25,dist_ratio.coeff_var,eps.max,eps.ratio,eps.s,expl_var.cor_init,expl_var.cor_x,expl_var.cov_init,expl_var.cov_x,expl_var_PC1.cor_init,expl_var_PC1.cor_x,expl_var_PC1.cov_init,expl_var_PC1.cov_x,h.max,kurtosis,lin_simple.adj_r2,lin_simple.coef.max,lin_simple.coef.max_by_min,lin_simple.coef.min,lin_simple.intercept,lin_w_interact.adj_r2,m0,nb_fitness.cor,nn_nb.cor,nn_nb.mean_ratio,nn_nb.sd_ratio,number_of_peaks,quad_simple.adj_r2,quad_simple.cond,quad_w_interact.adj_r2,ratio_mean_02,ratio_mean_05,ratio_mean_10,ratio_mean_25,ratio_median_02,ratio_median_05,ratio_median_10,ratio_median_25,skewness
rand-1500d,5.0,5.0,2.0,5.0,17.0,24.0,108.0,103.0,45.0,2.0,1.0,29.0,17.0,3.0,37.0,20.0,18.0,24.0,54.0,63.0,72.0,44.0,109.0,74.0,68.0,72.0,20.0,42.0,16.0,21.0,35.0,107.0,28.0,102.0,3.0,3.0,5.0,4.0,3.0,3.0,1.0,3.0,23.0,0.0,0.0,0.0
pbest-1500d,1.0,7.0,2.0,6.0,14.0,17.0,102.0,102.0,47.0,5.0,4.0,29.0,10.0,1.0,40.0,20.0,19.0,30.0,60.0,63.0,75.0,50.0,101.0,68.0,67.0,65.0,25.0,37.0,12.0,17.0,39.0,106.0,38.0,105.0,2.0,2.0,4.0,3.0,3.0,2.0,3.0,8.0,29.0,0.0,0.0,0.0
best-1500d,3.0,2.0,1.0,3.0,19.0,9.0,117.0,107.0,59.0,4.0,9.0,29.0,17.0,2.0,44.0,23.0,19.0,23.0,59.0,60.0,82.0,46.0,116.0,68.0,64.0,60.0,18.0,32.0,12.0,12.0,40.0,95.0,38.0,109.0,1.0,4.0,5.0,6.0,0.0,4.0,0.0,1.0,18.0,0.0,0.0,0.0
None-1500d,4.0,7.0,4.0,4.0,11.0,22.0,105.0,104.0,55.0,2.0,4.0,33.0,20.0,4.0,39.0,29.0,33.0,32.0,65.0,42.0,83.0,52.0,117.0,69.0,62.0,55.0,25.0,35.0,9.0,14.0,33.0,82.0,29.0,104.0,1.0,3.0,3.0,2.0,2.0,1.0,4.0,2.0,34.0,0.0,0.0,0.0
rand-1000d,1.0,4.0,3.0,3.0,16.0,19.0,104.0,107.0,53.0,2.0,2.0,21.0,19.0,2.0,34.0,21.0,21.0,19.0,67.0,60.0,58.0,45.0,107.0,79.0,66.0,83.0,23.0,31.0,10.0,21.0,42.0,98.0,36.0,110.0,0.0,4.0,4.0,7.0,3.0,1.0,2.0,6.0,26.0,0.0,0.0,0.0
pbest-1000d,2.0,5.0,5.0,7.0,18.0,15.0,106.0,103.0,57.0,1.0,1.0,22.0,13.0,4.0,35.0,17.0,17.0,22.0,76.0,64.0,60.0,39.0,108.0,72.0,77.0,85.0,23.0,27.0,9.0,23.0,46.0,101.0,25.0,103.0,2.0,5.0,4.0,7.0,1.0,0.0,3.0,8.0,22.0,0.0,0.0,0.0
best-1000d,3.0,1.0,3.0,7.0,13.0,10.0,118.0,114.0,51.0,2.0,3.0,22.0,12.0,0.0,32.0,17.0,14.0,11.0,72.0,69.0,76.0,42.0,124.0,90.0,68.0,86.0,20.0,19.0,8.0,17.0,46.0,95.0,23.0,100.0,0.0,6.0,5.0,9.0,4.0,1.0,2.0,6.0,19.0,0.0,0.0,0.0
None-1000d,5.0,2.0,5.0,11.0,23.0,19.0,115.0,104.0,58.0,2.0,6.0,20.0,16.0,0.0,25.0,16.0,30.0,29.0,61.0,49.0,89.0,36.0,116.0,86.0,54.0,64.0,20.0,34.0,12.0,20.0,34.0,84.0,20.0,109.0,2.0,5.0,3.0,6.0,4.0,4.0,8.0,6.0,28.0,0.0,0.0,0.0
rand-500d,5.0,9.0,1.0,18.0,6.0,12.0,107.0,116.0,57.0,0.0,2.0,30.0,22.0,1.0,17.0,24.0,38.0,23.0,71.0,52.0,90.0,31.0,103.0,86.0,66.0,67.0,20.0,43.0,10.0,10.0,42.0,65.0,27.0,96.0,1.0,2.0,6.0,3.0,4.0,2.0,18.0,2.0,35.0,0.0,0.0,0.0
pbest-500d,2.0,3.0,4.0,20.0,8.0,12.0,113.0,112.0,44.0,1.0,2.0,18.0,19.0,1.0,22.0,21.0,43.0,26.0,78.0,54.0,83.0,29.0,101.0,91.0,65.0,66.0,35.0,43.0,10.0,16.0,38.0,64.0,28.0,102.0,3.0,7.0,5.0,1.0,3.0,0.0,18.0,5.0,24.0,0.0,0.0,0.0
