,diff_mean_02,diff_mean_05,diff_mean_10,diff_mean_25,diff_median_02,diff_median_05,diff_median_10,diff_median_25,dist_ratio.coeff_var,eps.max,eps.ratio,eps.s,expl_var.cor_init,expl_var.cor_x,expl_var.cov_init,expl_var.cov_x,expl_var_PC1.cor_init,expl_var_PC1.cor_x,expl_var_PC1.cov_init,expl_var_PC1.cov_x,h.max,kurtosis,lin_simple.adj_r2,lin_simple.coef.max,lin_simple.coef.max_by_min,lin_simple.coef.min,lin_simple.intercept,lin_w_interact.adj_r2,m0,nb_fitness.cor,nn_nb.cor,nn_nb.mean_ratio,nn_nb.sd_ratio,number_of_peaks,quad_simple.adj_r2,quad_simple.cond,quad_w_interact.adj_r2,ratio_mean_02,ratio_mean_05,ratio_mean_10,ratio_mean_25,ratio_median_02,ratio_median_05,ratio_median_10,ratio_median_25,skewness
target-1500d,11.0,23.0,10.0,14.0,35.0,49.0,147.0,160.0,102.0,18.0,24.0,80.0,65.0,11.0,89.0,57.0,63.0,96.0,119.0,116.0,134.0,98.0,159.0,116.0,103.0,92.0,81.0,80.0,41.0,36.0,88.0,140.0,67.0,157.0,8.0,9.0,29.0,20.0,14.0,15.0,15.0,9.0,80.0,0.0,0.0,0.0
rand-1500d,15.0,13.0,5.0,23.0,56.0,60.0,162.0,143.0,90.0,13.0,21.0,90.0,49.0,5.0,58.0,57.0,46.0,58.0,108.0,104.0,131.0,95.0,173.0,129.0,143.0,133.0,66.0,79.0,47.0,61.0,80.0,157.0,90.0,169.0,9.0,11.0,8.0,14.0,10.0,6.0,9.0,15.0,69.0,0.0,0.0,0.0
best-1500d,16.0,15.0,10.0,23.0,45.0,58.0,173.0,166.0,108.0,19.0,17.0,101.0,57.0,10.0,64.0,68.0,62.0,60.0,95.0,94.0,143.0,90.0,161.0,129.0,119.0,121.0,59.0,81.0,45.0,58.0,75.0,143.0,75.0,159.0,5.0,16.0,8.0,10.0,12.0,11.0,13.0,15.0,71.0,0.0,0.0,0.0
target-1000d,12.0,21.0,13.0,24.0,23.0,45.0,161.0,155.0,107.0,14.0,14.0,70.0,54.0,7.0,79.0,65.0,80.0,87.0,120.0,91.0,131.0,101.0,168.0,131.0,113.0,105.0,74.0,74.0,43.0,47.0,91.0,138.0,68.0,159.0,8.0,10.0,20.0,20.0,16.0,12.0,33.0,5.0,71.0,0.0,0.0,0.0
rand-1000d,16.0,10.0,11.0,28.0,68.0,52.0,166.0,162.0,106.0,10.0,12.0,55.0,36.0,10.0,39.0,32.0,29.0,52.0,124.0,131.0,130.0,105.0,170.0,143.0,126.0,146.0,87.0,75.0,39.0,75.0,98.0,151.0,50.0,168.0,4.0,11.0,4.0,27.0,14.0,4.0,13.0,25.0,66.0,0.0,0.0,0.0
best-1000d,24.0,15.0,8.0,20.0,51.0,44.0,168.0,161.0,105.0,17.0,16.0,86.0,50.0,6.0,58.0,62.0,54.0,52.0,130.0,100.0,136.0,88.0,171.0,141.0,117.0,133.0,65.0,61.0,50.0,66.0,84.0,142.0,78.0,155.0,7.0,17.0,8.0,22.0,14.0,13.0,12.0,20.0,53.0,0.0,0.0,0.0
target-500d,10.0,26.0,17.0,33.0,18.0,40.0,168.0,153.0,108.0,6.0,9.0,66.0,60.0,8.0,56.0,82.0,109.0,100.0,138.0,54.0,155.0,74.0,163.0,129.0,88.0,94.0,73.0,92.0,43.0,49.0,104.0,94.0,70.0,140.0,15.0,6.0,19.0,20.0,25.0,8.0,42.0,16.0,100.0,0.0,0.0,0.0
rand-500d,16.0,29.0,4.0,53.0,30.0,54.0,160.0,179.0,94.0,4.0,9.0,65.0,46.0,4.0,33.0,58.0,68.0,60.0,133.0,125.0,139.0,71.0,151.0,159.0,113.0,148.0,68.0,99.0,38.0,51.0,85.0,101.0,59.0,166.0,11.0,13.0,11.0,12.0,33.0,9.0,48.0,13.0,58.0,0.0,0.0,0.0
best-500d,15.0,30.0,17.0,49.0,35.0,67.0,172.0,175.0,118.0,7.0,5.0,75.0,51.0,4.0,33.0,52.0,55.0,47.0,136.0,116.0,156.0,62.0,148.0,160.0,110.0,124.0,65.0,81.0,43.0,52.0,85.0,99.0,55.0,165.0,10.0,10.0,20.0,18.0,23.0,12.0,47.0,19.0,57.0,0.0,0.0,0.0
target-300d,24.0,28.0,19.0,37.0,11.0,72.0,166.0,150.0,126.0,11.0,11.0,84.0,53.0,9.0,29.0,65.0,118.0,110.0,153.0,41.0,159.0,65.0,167.0,136.0,55.0,104.0,77.0,92.0,39.0,46.0,117.0,74.0,55.0,133.0,6.0,8.0,13.0,15.0,20.0,18.0,38.0,10.0,116.0,0.0,0.0,0.0
rand-300d,31.0,14.0,15.0,35.0,31.0,56.0,155.0,157.0,122.0,9.0,4.0,65.0,76.0,2.0,12.0,64.0,120.0,97.0,136.0,94.0,153.0,52.0,184.0,142.0,71.0,130.0,80.0,80.0,42.0,63.0,123.0,88.0,32.0,137.0,10.0,16.0,6.0,27.0,26.0,10.0,35.0,22.0,56.0,0.0,0.0,0.0
best-300d,7.0,22.0,25.0,54.0,30.0,43.0,169.0,163.0,108.0,2.0,9.0,74.0,55.0,5.0,12.0,62.0,62.0,84.0,150.0,98.0,166.0,36.0,154.0,141.0,102.0,144.0,82.0,88.0,49.0,47.0,101.0,82.0,54.0,153.0,9.0,11.0,11.0,20.0,21.0,22.0,65.0,17.0,71.0,0.0,0.0,0.0
target-100d,10.0,19.0,18.0,25.0,15.0,40.0,166.0,145.0,148.0,6.0,14.0,99.0,78.0,4.0,4.0,94.0,164.0,135.0,186.0,35.0,157.0,25.0,168.0,116.0,32.0,102.0,97.0,83.0,35.0,40.0,146.0,33.0,41.0,141.0,10.0,9.0,11.0,14.0,11.0,13.0,29.0,16.0,146.0,0.0,0.0,0.0
rand-100d,6.0,22.0,14.0,28.0,31.0,71.0,153.0,162.0,115.0,5.0,22.0,67.0,45.0,5.0,1.0,36.0,96.0,79.0,190.0,105.0,143.0,53.0,177.0,158.0,76.0,165.0,103.0,90.0,40.0,43.0,115.0,39.0,47.0,151.0,6.0,7.0,4.0,7.0,29.0,7.0,34.0,12.0,121.0,0.0,0.0,0.0
