,diff_mean_02,diff_mean_05,diff_mean_10,diff_mean_25,diff_median_02,diff_median_05,diff_median_10,diff_median_25,dist_ratio.coeff_var,eps.max,eps.ratio,eps.s,expl_var.cor_init,expl_var.cor_x,expl_var.cov_init,expl_var.cov_x,expl_var_PC1.cor_init,expl_var_PC1.cor_x,expl_var_PC1.cov_init,expl_var_PC1.cov_x,h.max,kurtosis,lin_simple.adj_r2,lin_simple.coef.max,lin_simple.coef.max_by_min,lin_simple.coef.min,lin_simple.intercept,lin_w_interact.adj_r2,m0,nb_fitness.cor,nn_nb.cor,nn_nb.mean_ratio,nn_nb.sd_ratio,number_of_peaks,quad_simple.adj_r2,quad_simple.cond,quad_w_interact.adj_r2,ratio_mean_02,ratio_mean_05,ratio_mean_10,ratio_mean_25,ratio_median_02,ratio_median_05,ratio_median_10,ratio_median_25,skewness
rand-1500d,12.0,12.0,5.0,18.0,38.0,49.0,119.0,119.0,70.0,9.0,12.0,71.0,42.0,7.0,57.0,40.0,37.0,51.0,75.0,82.0,93.0,76.0,126.0,94.0,91.0,89.0,48.0,58.0,36.0,45.0,57.0,117.0,56.0,123.0,3.0,13.0,14.0,10.0,8.0,8.0,9.0,9.0,52.0,0.0,0.0,0.0
pbest-1500d,7.0,17.0,5.0,18.0,36.0,39.0,116.0,113.0,77.0,15.0,18.0,67.0,40.0,6.0,53.0,44.0,33.0,51.0,82.0,79.0,100.0,64.0,113.0,96.0,93.0,91.0,52.0,64.0,29.0,45.0,67.0,119.0,58.0,121.0,5.0,7.0,15.0,9.0,11.0,5.0,8.0,14.0,58.0,0.0,0.0,0.0
best-1500d,10.0,12.0,6.0,13.0,34.0,29.0,126.0,117.0,82.0,16.0,16.0,67.0,41.0,6.0,54.0,42.0,43.0,54.0,82.0,83.0,111.0,65.0,124.0,91.0,94.0,84.0,56.0,61.0,35.0,30.0,62.0,111.0,57.0,121.0,7.0,11.0,11.0,16.0,7.0,13.0,8.0,5.0,47.0,0.0,0.0,0.0
None-1500d,13.0,10.0,9.0,11.0,28.0,50.0,121.0,120.0,71.0,10.0,16.0,66.0,48.0,7.0,47.0,56.0,58.0,58.0,83.0,70.0,104.0,78.0,130.0,93.0,87.0,82.0,50.0,57.0,33.0,35.0,57.0,93.0,61.0,120.0,7.0,5.0,5.0,9.0,10.0,6.0,12.0,11.0,63.0,0.0,0.0,0.0
rand-1000d,13.0,16.0,7.0,9.0,34.0,38.0,119.0,124.0,74.0,7.0,11.0,60.0,36.0,6.0,45.0,40.0,39.0,39.0,93.0,80.0,85.0,79.0,128.0,101.0,93.0,97.0,54.0,56.0,38.0,51.0,68.0,113.0,61.0,123.0,3.0,7.0,7.0,18.0,9.0,7.0,14.0,10.0,48.0,0.0,0.0,0.0
pbest-1000d,14.0,11.0,8.0,16.0,39.0,34.0,121.0,115.0,82.0,13.0,8.0,50.0,34.0,8.0,47.0,39.0,42.0,44.0,95.0,83.0,91.0,72.0,122.0,97.0,95.0,107.0,58.0,53.0,32.0,51.0,72.0,114.0,48.0,122.0,5.0,8.0,7.0,18.0,9.0,4.0,11.0,15.0,46.0,0.0,0.0,0.0
best-1000d,13.0,4.0,5.0,22.0,29.0,31.0,128.0,123.0,78.0,11.0,15.0,51.0,36.0,4.0,44.0,44.0,33.0,42.0,97.0,93.0,106.0,77.0,136.0,111.0,91.0,102.0,60.0,41.0,28.0,42.0,66.0,108.0,44.0,116.0,7.0,10.0,10.0,16.0,12.0,6.0,13.0,11.0,44.0,0.0,0.0,0.0
None-1000d,12.0,15.0,12.0,25.0,40.0,38.0,127.0,116.0,84.0,10.0,8.0,50.0,34.0,5.0,40.0,36.0,49.0,66.0,89.0,66.0,115.0,66.0,123.0,106.0,77.0,78.0,54.0,60.0,34.0,44.0,67.0,96.0,43.0,121.0,4.0,13.0,8.0,17.0,14.0,12.0,20.0,14.0,52.0,0.0,0.0,0.0
rand-500d,10.0,29.0,10.0,29.0,16.0,44.0,122.0,133.0,82.0,3.0,3.0,50.0,48.0,4.0,30.0,48.0,66.0,51.0,97.0,70.0,110.0,52.0,112.0,109.0,85.0,91.0,45.0,69.0,30.0,32.0,66.0,80.0,47.0,114.0,7.0,7.0,11.0,13.0,19.0,7.0,36.0,10.0,63.0,0.0,0.0,0.0
pbest-500d,7.0,22.0,10.0,35.0,19.0,38.0,120.0,123.0,71.0,3.0,6.0,54.0,39.0,2.0,37.0,52.0,60.0,51.0,98.0,71.0,110.0,52.0,114.0,110.0,78.0,86.0,64.0,67.0,36.0,37.0,72.0,73.0,54.0,120.0,11.0,11.0,15.0,7.0,22.0,4.0,28.0,17.0,54.0,0.0,0.0,0.0
