,diff_mean_02,diff_mean_05,diff_mean_10,diff_mean_25,diff_median_02,diff_median_05,diff_median_10,diff_median_25,dist_ratio.coeff_var,eps.max,eps.ratio,eps.s,expl_var.cor_init,expl_var.cor_x,expl_var.cov_init,expl_var.cov_x,expl_var_PC1.cor_init,expl_var_PC1.cor_x,expl_var_PC1.cov_init,expl_var_PC1.cov_x,h.max,kurtosis,lin_simple.adj_r2,lin_simple.coef.max,lin_simple.coef.max_by_min,lin_simple.coef.min,lin_simple.intercept,lin_w_interact.adj_r2,m0,nb_fitness.cor,nn_nb.cor,nn_nb.mean_ratio,nn_nb.sd_ratio,number_of_peaks,quad_simple.adj_r2,quad_simple.cond,quad_w_interact.adj_r2,ratio_mean_02,ratio_mean_05,ratio_mean_10,ratio_mean_25,ratio_median_02,ratio_median_05,ratio_median_10,ratio_median_25,skewness
exp-1500d,5.0,10.0,3.0,3.0,21.0,47.0,245.0,230.0,100.0,8.0,13.0,57.0,25.0,3.0,69.0,21.0,19.0,54.0,90.0,104.0,173.0,113.0,236.0,104.0,142.0,103.0,44.0,87.0,23.0,27.0,70.0,228.0,96.0,233.0,0.0,2.0,1.0,8.0,4.0,6.0,1.0,2.0,50.0,0.0,0.0,0.0
bin-1500d,8.0,11.0,6.0,15.0,40.0,25.0,187.0,186.0,106.0,5.0,5.0,63.0,39.0,7.0,91.0,71.0,70.0,55.0,148.0,124.0,139.0,79.0,207.0,175.0,119.0,149.0,44.0,59.0,26.0,37.0,77.0,162.0,37.0,187.0,7.0,10.0,16.0,7.0,4.0,4.0,7.0,12.0,54.0,0.0,0.0,0.0
exp-1000d,3.0,6.0,4.0,8.0,34.0,33.0,253.0,235.0,112.0,1.0,8.0,29.0,25.0,3.0,56.0,23.0,25.0,38.0,137.0,127.0,157.0,96.0,237.0,135.0,144.0,142.0,36.0,43.0,16.0,29.0,84.0,219.0,69.0,231.0,0.0,0.0,3.0,17.0,5.0,2.0,6.0,7.0,42.0,0.0,0.0,0.0
bin-1000d,8.0,6.0,12.0,20.0,36.0,30.0,190.0,193.0,107.0,6.0,4.0,56.0,35.0,3.0,70.0,48.0,57.0,43.0,139.0,115.0,126.0,66.0,218.0,192.0,121.0,176.0,50.0,68.0,23.0,52.0,84.0,159.0,35.0,191.0,4.0,20.0,13.0,12.0,7.0,4.0,9.0,19.0,53.0,0.0,0.0,0.0
exp-500d,4.0,7.0,6.0,66.0,7.0,27.0,254.0,248.0,91.0,1.0,6.0,36.0,29.0,4.0,41.0,31.0,50.0,46.0,162.0,97.0,199.0,55.0,181.0,160.0,158.0,117.0,28.0,108.0,13.0,20.0,73.0,130.0,66.0,217.0,4.0,4.0,5.0,2.0,5.0,2.0,61.0,4.0,55.0,0.0,0.0,0.0
bin-500d,7.0,14.0,4.0,18.0,24.0,20.0,204.0,212.0,127.0,1.0,2.0,57.0,42.0,1.0,33.0,43.0,94.0,65.0,163.0,114.0,149.0,51.0,232.0,203.0,100.0,165.0,74.0,50.0,23.0,36.0,98.0,112.0,31.0,188.0,5.0,8.0,14.0,11.0,11.0,4.0,14.0,12.0,44.0,0.0,0.0,0.0
exp-300d,8.0,9.0,12.0,43.0,12.0,40.0,235.0,213.0,116.0,3.0,2.0,42.0,50.0,2.0,5.0,44.0,103.0,99.0,153.0,53.0,219.0,42.0,230.0,134.0,77.0,122.0,31.0,128.0,28.0,40.0,114.0,114.0,33.0,161.0,4.0,8.0,5.0,17.0,5.0,13.0,44.0,4.0,63.0,0.0,0.0,0.0
bin-300d,6.0,11.0,10.0,22.0,25.0,27.0,205.0,198.0,130.0,1.0,4.0,57.0,27.0,2.0,19.0,49.0,124.0,75.0,194.0,90.0,167.0,34.0,233.0,210.0,82.0,164.0,67.0,59.0,17.0,34.0,129.0,81.0,30.0,176.0,3.0,7.0,9.0,16.0,7.0,2.0,19.0,8.0,50.0,0.0,0.0,0.0
exp-100d,1.0,5.0,5.0,22.0,7.0,36.0,207.0,198.0,133.0,4.0,9.0,35.0,26.0,0.0,0.0,24.0,140.0,88.0,276.0,79.0,179.0,37.0,207.0,176.0,70.0,177.0,61.0,103.0,22.0,23.0,122.0,22.0,28.0,163.0,3.0,2.0,3.0,6.0,9.0,2.0,22.0,1.0,147.0,0.0,0.0,0.0
bin-100d,2.0,13.0,10.0,24.0,17.0,13.0,204.0,187.0,151.0,1.0,5.0,65.0,32.0,2.0,1.0,44.0,172.0,119.0,251.0,83.0,168.0,7.0,260.0,187.0,42.0,156.0,68.0,34.0,21.0,42.0,162.0,24.0,15.0,146.0,1.0,8.0,2.0,14.0,5.0,2.0,22.0,6.0,92.0,0.0,0.0,0.0
exp-50d,4.0,9.0,11.0,21.0,8.0,40.0,226.0,200.0,175.0,6.0,4.0,23.0,30.0,1.0,0.0,25.0,177.0,105.0,273.0,35.0,219.0,1.0,236.0,193.0,20.0,142.0,41.0,64.0,18.0,46.0,164.0,22.0,14.0,94.0,5.0,7.0,3.0,9.0,16.0,2.0,17.0,6.0,168.0,0.0,0.0,0.0
bin-50d,4.0,13.0,10.0,23.0,10.0,21.0,209.0,179.0,137.0,1.0,3.0,57.0,35.0,2.0,1.0,22.0,206.0,127.0,253.0,45.0,184.0,10.0,247.0,191.0,20.0,153.0,64.0,46.0,17.0,37.0,168.0,10.0,20.0,151.0,2.0,7.0,0.0,9.0,11.0,4.0,27.0,3.0,141.0,0.0,0.0,0.0
