,diff_mean_02,diff_mean_05,diff_mean_10,diff_mean_25,diff_median_02,diff_median_05,diff_median_10,diff_median_25,dist_ratio.coeff_var,eps.max,eps.ratio,eps.s,expl_var.cor_init,expl_var.cor_x,expl_var.cov_init,expl_var.cov_x,expl_var_PC1.cor_init,expl_var_PC1.cor_x,expl_var_PC1.cov_init,expl_var_PC1.cov_x,h.max,kurtosis,lin_simple.adj_r2,lin_simple.coef.max,lin_simple.coef.max_by_min,lin_simple.coef.min,lin_simple.intercept,lin_w_interact.adj_r2,m0,nb_fitness.cor,nn_nb.cor,nn_nb.mean_ratio,nn_nb.sd_ratio,number_of_peaks,quad_simple.adj_r2,quad_simple.cond,quad_w_interact.adj_r2,ratio_mean_02,ratio_mean_05,ratio_mean_10,ratio_mean_25,ratio_median_02,ratio_median_05,ratio_median_10,ratio_median_25,skewness
shade-1500d,14.0,36.0,19.0,20.0,12.0,123.0,146.0,115.0,135.0,16.0,15.0,33.0,30.0,13.0,26.0,43.0,56.0,57.0,77.0,112.0,76.0,92.0,143.0,81.0,138.0,172.0,103.0,118.0,103.0,126.0,23.0,143.0,80.0,126.0,34.0,25.0,23.0,10.0,32.0,18.0,16.0,18.0,82.0,0.0,0.0,0.0
jDE-1500d,14.0,43.0,30.0,24.0,13.0,125.0,157.0,127.0,125.0,15.0,5.0,26.0,26.0,5.0,14.0,34.0,47.0,40.0,74.0,101.0,107.0,71.0,166.0,110.0,112.0,169.0,72.0,119.0,113.0,136.0,20.0,140.0,65.0,122.0,51.0,28.0,36.0,8.0,31.0,20.0,24.0,17.0,98.0,0.0,0.0,0.0
None-1500d,16.0,29.0,24.0,36.0,19.0,133.0,155.0,115.0,119.0,17.0,9.0,47.0,39.0,11.0,13.0,39.0,51.0,47.0,66.0,97.0,84.0,71.0,144.0,87.0,113.0,168.0,75.0,136.0,119.0,139.0,16.0,134.0,67.0,120.0,46.0,41.0,35.0,10.0,22.0,26.0,28.0,20.0,97.0,0.0,0.0,0.0
shade-1000d,15.0,41.0,31.0,17.0,10.0,133.0,153.0,119.0,125.0,14.0,6.0,26.0,40.0,13.0,19.0,30.0,57.0,49.0,72.0,106.0,104.0,75.0,152.0,79.0,122.0,169.0,99.0,120.0,118.0,105.0,19.0,154.0,69.0,127.0,49.0,26.0,22.0,9.0,27.0,24.0,26.0,19.0,90.0,0.0,0.0,0.0
jDE-1000d,15.0,40.0,29.0,30.0,9.0,132.0,165.0,130.0,130.0,13.0,4.0,51.0,25.0,4.0,11.0,37.0,35.0,33.0,64.0,110.0,116.0,49.0,163.0,107.0,123.0,174.0,96.0,110.0,108.0,122.0,16.0,141.0,61.0,124.0,49.0,25.0,36.0,9.0,37.0,25.0,20.0,12.0,90.0,0.0,0.0,0.0
None-1000d,16.0,32.0,22.0,30.0,22.0,134.0,159.0,126.0,139.0,16.0,7.0,43.0,39.0,6.0,22.0,39.0,61.0,24.0,60.0,117.0,99.0,46.0,138.0,72.0,122.0,168.0,72.0,120.0,98.0,124.0,24.0,152.0,80.0,129.0,45.0,33.0,31.0,11.0,38.0,24.0,23.0,21.0,96.0,0.0,0.0,0.0
shade-500d,8.0,34.0,47.0,16.0,11.0,127.0,160.0,135.0,126.0,7.0,6.0,31.0,33.0,10.0,26.0,42.0,43.0,38.0,77.0,114.0,118.0,57.0,147.0,111.0,129.0,149.0,112.0,102.0,89.0,87.0,38.0,155.0,99.0,139.0,41.0,13.0,24.0,13.0,41.0,17.0,20.0,14.0,74.0,0.0,0.0,0.0
jDE-500d,15.0,50.0,54.0,19.0,12.0,125.0,152.0,155.0,146.0,11.0,6.0,31.0,30.0,4.0,17.0,49.0,49.0,31.0,79.0,114.0,130.0,32.0,146.0,129.0,137.0,140.0,98.0,101.0,91.0,86.0,21.0,140.0,79.0,134.0,58.0,16.0,26.0,18.0,42.0,16.0,8.0,19.0,64.0,0.0,0.0,0.0
None-500d,7.0,34.0,38.0,19.0,6.0,104.0,175.0,153.0,150.0,9.0,3.0,39.0,41.0,8.0,20.0,44.0,42.0,43.0,61.0,119.0,133.0,47.0,149.0,132.0,141.0,133.0,117.0,93.0,83.0,63.0,36.0,143.0,99.0,135.0,57.0,16.0,17.0,5.0,40.0,16.0,13.0,15.0,82.0,0.0,0.0,0.0
shade-300d,9.0,28.0,46.0,20.0,10.0,114.0,173.0,161.0,148.0,12.0,3.0,34.0,50.0,6.0,16.0,58.0,40.0,48.0,96.0,107.0,136.0,59.0,144.0,136.0,156.0,122.0,123.0,77.0,84.0,69.0,17.0,147.0,78.0,151.0,49.0,14.0,13.0,10.0,29.0,10.0,3.0,13.0,61.0,0.0,0.0,0.0
