,diff_mean_02,diff_mean_05,diff_mean_10,diff_mean_25,diff_median_02,diff_median_05,diff_median_10,diff_median_25,dist_ratio.coeff_var,eps.max,eps.ratio,eps.s,expl_var.cor_init,expl_var.cor_x,expl_var.cov_init,expl_var.cov_x,expl_var_PC1.cor_init,expl_var_PC1.cor_x,expl_var_PC1.cov_init,expl_var_PC1.cov_x,h.max,kurtosis,lin_simple.adj_r2,lin_simple.coef.max,lin_simple.coef.max_by_min,lin_simple.coef.min,lin_simple.intercept,lin_w_interact.adj_r2,m0,nb_fitness.cor,nn_nb.cor,nn_nb.mean_ratio,nn_nb.sd_ratio,number_of_peaks,quad_simple.adj_r2,quad_simple.cond,quad_w_interact.adj_r2,ratio_mean_02,ratio_mean_05,ratio_mean_10,ratio_mean_25,ratio_median_02,ratio_median_05,ratio_median_10,ratio_median_25,skewness
True-1500d,7.0,25.0,10.0,35.0,79.0,110.0,227.0,223.0,164.0,16.0,21.0,154.0,97.0,6.0,71.0,87.0,75.0,95.0,166.0,172.0,202.0,143.0,259.0,174.0,194.0,191.0,120.0,144.0,69.0,92.0,122.0,208.0,102.0,240.0,9.0,19.0,21.0,10.0,15.0,13.0,24.0,8.0,101.0,0.0,0.0,0.0
False-1500d,35.0,26.0,15.0,25.0,57.0,57.0,255.0,246.0,136.0,34.0,41.0,117.0,74.0,20.0,140.0,95.0,96.0,119.0,156.0,142.0,206.0,140.0,234.0,200.0,171.0,155.0,86.0,96.0,64.0,63.0,121.0,232.0,130.0,245.0,13.0,17.0,24.0,34.0,21.0,19.0,13.0,31.0,119.0,0.0,0.0,0.0
True-1000d,24.0,19.0,19.0,54.0,93.0,80.0,243.0,224.0,186.0,9.0,6.0,104.0,55.0,4.0,41.0,63.0,65.0,90.0,225.0,191.0,189.0,143.0,262.0,209.0,170.0,231.0,133.0,102.0,75.0,103.0,159.0,191.0,81.0,241.0,6.0,24.0,12.0,31.0,20.0,10.0,36.0,16.0,81.0,0.0,0.0,0.0
False-1000d,28.0,27.0,13.0,18.0,49.0,61.0,252.0,254.0,132.0,32.0,36.0,107.0,85.0,19.0,135.0,96.0,98.0,101.0,149.0,131.0,208.0,151.0,247.0,206.0,186.0,153.0,93.0,108.0,57.0,85.0,114.0,240.0,115.0,241.0,13.0,14.0,20.0,38.0,24.0,19.0,22.0,34.0,109.0,0.0,0.0,0.0
True-500d,14.0,67.0,20.0,118.0,39.0,86.0,233.0,244.0,164.0,3.0,1.0,95.0,66.0,1.0,10.0,83.0,114.0,101.0,265.0,178.0,219.0,61.0,212.0,232.0,138.0,230.0,135.0,153.0,59.0,89.0,160.0,69.0,55.0,237.0,19.0,13.0,16.0,16.0,55.0,13.0,114.0,25.0,98.0,0.0,0.0,0.0
False-500d,27.0,18.0,18.0,17.0,44.0,75.0,267.0,263.0,156.0,14.0,22.0,111.0,91.0,15.0,112.0,109.0,118.0,106.0,142.0,117.0,231.0,146.0,250.0,216.0,173.0,136.0,71.0,119.0,65.0,63.0,114.0,225.0,129.0,234.0,17.0,16.0,34.0,34.0,26.0,16.0,23.0,23.0,117.0,0.0,0.0,0.0
True-300d,33.0,46.0,33.0,98.0,37.0,47.0,230.0,221.0,178.0,12.0,6.0,90.0,75.0,4.0,5.0,83.0,202.0,172.0,276.0,126.0,234.0,33.0,256.0,221.0,81.0,218.0,145.0,90.0,58.0,81.0,205.0,53.0,47.0,184.0,13.0,23.0,12.0,34.0,55.0,19.0,121.0,32.0,131.0,0.0,0.0,0.0
False-300d,29.0,18.0,26.0,28.0,35.0,124.0,260.0,249.0,178.0,10.0,18.0,133.0,109.0,12.0,48.0,108.0,98.0,119.0,163.0,107.0,244.0,120.0,249.0,198.0,147.0,160.0,94.0,170.0,72.0,75.0,136.0,191.0,94.0,239.0,12.0,12.0,18.0,28.0,12.0,31.0,17.0,17.0,112.0,0.0,0.0,0.0
True-100d,18.0,26.0,30.0,33.0,33.0,92.0,236.0,208.0,207.0,16.0,33.0,133.0,89.0,8.0,2.0,81.0,251.0,198.0,285.0,79.0,217.0,7.0,271.0,227.0,49.0,229.0,118.0,100.0,77.0,77.0,216.0,33.0,32.0,175.0,13.0,9.0,19.0,23.0,30.0,20.0,42.0,28.0,250.0,0.0,0.0,0.0
False-100d,10.0,40.0,17.0,64.0,42.0,80.0,244.0,244.0,174.0,1.0,14.0,93.0,71.0,9.0,7.0,85.0,120.0,117.0,279.0,159.0,222.0,112.0,243.0,211.0,128.0,206.0,170.0,141.0,45.0,71.0,170.0,76.0,97.0,244.0,13.0,20.0,8.0,19.0,33.0,14.0,63.0,18.0,126.0,0.0,0.0,0.0
True-50d,10.0,25.0,16.0,21.0,11.0,99.0,258.0,233.0,222.0,10.0,37.0,102.0,116.0,6.0,2.0,69.0,245.0,171.0,286.0,59.0,223.0,2.0,266.0,230.0,35.0,239.0,103.0,142.0,78.0,81.0,186.0,65.0,53.0,192.0,7.0,22.0,17.0,14.0,35.0,16.0,29.0,15.0,272.0,0.0,0.0,0.0
False-50d,32.0,51.0,44.0,74.0,33.0,57.0,231.0,216.0,177.0,8.0,16.0,93.0,89.0,6.0,8.0,95.0,216.0,196.0,273.0,111.0,227.0,33.0,253.0,217.0,57.0,177.0,133.0,109.0,47.0,91.0,239.0,27.0,54.0,181.0,27.0,24.0,14.0,31.0,61.0,28.0,90.0,26.0,148.0,0.0,0.0,0.0
