,diff_mean_02,diff_mean_05,diff_mean_10,diff_mean_25,diff_median_02,diff_median_05,diff_median_10,diff_median_25,dist_ratio.coeff_var,eps.max,eps.ratio,eps.s,expl_var.cor_init,expl_var.cor_x,expl_var.cov_init,expl_var.cov_x,expl_var_PC1.cor_init,expl_var_PC1.cor_x,expl_var_PC1.cov_init,expl_var_PC1.cov_x,h.max,kurtosis,lin_simple.adj_r2,lin_simple.coef.max,lin_simple.coef.max_by_min,lin_simple.coef.min,lin_simple.intercept,lin_w_interact.adj_r2,m0,nb_fitness.cor,nn_nb.cor,nn_nb.mean_ratio,nn_nb.sd_ratio,number_of_peaks,quad_simple.adj_r2,quad_simple.cond,quad_w_interact.adj_r2,ratio_mean_02,ratio_mean_05,ratio_mean_10,ratio_mean_25,ratio_median_02,ratio_median_05,ratio_median_10,ratio_median_25,skewness
True-1500d,51.0,74.0,62.0,61.0,47.0,225.0,245.0,199.0,217.0,66.0,52.0,98.0,91.0,38.0,60.0,85.0,125.0,121.0,162.0,189.0,192.0,196.0,253.0,176.0,211.0,272.0,176.0,218.0,208.0,238.0,68.0,237.0,154.0,220.0,99.0,65.0,72.0,35.0,58.0,56.0,56.0,51.0,181.0,0.0,0.0,0.0
False-1500d,50.0,90.0,68.0,70.0,49.0,205.0,242.0,224.0,220.0,59.0,25.0,125.0,102.0,46.0,60.0,127.0,136.0,122.0,183.0,201.0,189.0,161.0,233.0,177.0,208.0,251.0,188.0,199.0,193.0,223.0,59.0,236.0,165.0,215.0,96.0,70.0,66.0,30.0,84.0,52.0,50.0,44.0,167.0,0.0,0.0,0.0
True-1000d,43.0,93.0,89.0,69.0,45.0,223.0,251.0,204.0,226.0,50.0,31.0,122.0,90.0,38.0,57.0,87.0,101.0,85.0,152.0,201.0,197.0,134.0,242.0,175.0,216.0,269.0,182.0,215.0,203.0,221.0,67.0,245.0,173.0,225.0,124.0,73.0,73.0,39.0,78.0,51.0,65.0,55.0,181.0,0.0,0.0,0.0
False-1000d,45.0,87.0,67.0,53.0,41.0,221.0,255.0,230.0,220.0,66.0,21.0,114.0,137.0,37.0,44.0,120.0,147.0,92.0,170.0,207.0,201.0,141.0,245.0,185.0,221.0,256.0,206.0,193.0,191.0,199.0,68.0,248.0,162.0,218.0,115.0,49.0,56.0,34.0,89.0,60.0,47.0,41.0,161.0,0.0,0.0,0.0
True-500d,37.0,100.0,105.0,52.0,31.0,201.0,256.0,245.0,232.0,49.0,23.0,107.0,118.0,33.0,55.0,114.0,102.0,102.0,176.0,210.0,225.0,112.0,227.0,218.0,232.0,242.0,220.0,188.0,177.0,164.0,83.0,255.0,203.0,235.0,118.0,45.0,61.0,35.0,95.0,51.0,39.0,41.0,146.0,0.0,0.0,0.0
False-500d,43.0,96.0,108.0,54.0,36.0,212.0,260.0,243.0,233.0,39.0,26.0,117.0,118.0,26.0,38.0,128.0,123.0,87.0,171.0,205.0,218.0,94.0,243.0,231.0,231.0,230.0,213.0,204.0,191.0,163.0,79.0,241.0,180.0,234.0,131.0,37.0,45.0,36.0,87.0,47.0,38.0,53.0,171.0,0.0,0.0,0.0
True-300d,36.0,101.0,106.0,43.0,58.0,196.0,260.0,256.0,253.0,49.0,28.0,112.0,135.0,35.0,47.0,133.0,113.0,129.0,197.0,203.0,221.0,111.0,243.0,217.0,247.0,217.0,214.0,183.0,175.0,127.0,85.0,250.0,168.0,248.0,137.0,38.0,31.0,29.0,84.0,31.0,27.0,46.0,141.0,0.0,0.0,0.0
False-300d,40.0,92.0,106.0,48.0,43.0,218.0,271.0,254.0,249.0,31.0,15.0,134.0,163.0,19.0,27.0,159.0,123.0,110.0,183.0,199.0,219.0,88.0,232.0,218.0,230.0,209.0,217.0,197.0,196.0,164.0,64.0,228.0,169.0,237.0,132.0,47.0,33.0,33.0,83.0,44.0,32.0,44.0,160.0,0.0,0.0,0.0
True-100d,26.0,66.0,97.0,27.0,44.0,235.0,283.0,262.0,236.0,12.0,27.0,185.0,187.0,23.0,17.0,176.0,167.0,75.0,203.0,215.0,244.0,68.0,276.0,187.0,217.0,196.0,194.0,227.0,233.0,173.0,53.0,212.0,158.0,244.0,90.0,23.0,22.0,24.0,55.0,42.0,18.0,41.0,200.0,0.0,0.0,0.0
False-100d,35.0,82.0,88.0,19.0,41.0,246.0,274.0,264.0,235.0,24.0,15.0,195.0,193.0,23.0,27.0,190.0,168.0,90.0,204.0,196.0,234.0,71.0,271.0,186.0,199.0,183.0,195.0,225.0,223.0,173.0,56.0,194.0,135.0,219.0,90.0,43.0,23.0,39.0,81.0,43.0,21.0,41.0,206.0,0.0,0.0,0.0
True-50d,43.0,81.0,77.0,37.0,28.0,270.0,271.0,261.0,243.0,10.0,9.0,162.0,181.0,26.0,17.0,176.0,158.0,88.0,183.0,228.0,258.0,56.0,277.0,256.0,205.0,159.0,213.0,213.0,216.0,175.0,47.0,191.0,166.0,220.0,101.0,29.0,21.0,26.0,56.0,31.0,22.0,35.0,238.0,0.0,0.0,0.0
False-50d,44.0,70.0,84.0,29.0,36.0,257.0,278.0,266.0,238.0,7.0,12.0,182.0,158.0,21.0,24.0,202.0,177.0,101.0,207.0,222.0,260.0,59.0,273.0,244.0,190.0,142.0,207.0,211.0,220.0,161.0,48.0,191.0,147.0,211.0,86.0,19.0,25.0,34.0,79.0,36.0,21.0,44.0,237.0,0.0,0.0,0.0
