,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
0_250_5,-0.0032703599763950967,-0.0012451166913439774,-0.0007002237064444934,-0.0016253734367126392,-0.0020034194936487835,-0.0026627967575038373,-0.0014359971709465246,-0.002635082262881045,-0.002570231588372766,0.013272160380104514,0.0034846900758636863,0.017375841012572,0.00029101418086937143,-0.0004168400502936627,0.0027837798615939673,0.0017591557925949683,0.00047334563170329223,0.00035737898604912543,0.003478835970980179,0.006320139507683215,-0.0009525279373900608,-0.001353300548183991,0.003338870303779398,-0.0012227715227119264,-0.0027434205255029505,-0.002844075729571097,0.0041246019705049024,0.005708098262542638,-0.00671526426485877,-0.005068390060363585,-0.0031961380663629376,-0.002819019962806249,-0.0009368743137986832,-0.001735706368274185,-0.013933019045210404,-0.0007685857185070143,-0.013885527821306936,0.0012811739443818705,-0.0005233253725818358,-0.0018395822683474456,-0.003047207372857576,-0.0029571427000825243,-0.00023877209296740629,-0.0010890003911657909,-0.0028200905236737913,0.0013814975914082438
0_500_5,-0.003133116508868906,-0.0004603362948147844,0.00011881802406953648,0.0006059876245077987,0.0027309220795305113,-0.0009810939192844302,-0.0003302137142842345,-8.810986091975628e-05,-0.00036704421776866965,0.0010146204601820129,0.0030531887943718292,-0.009284568053500482,0.0006727754474616564,0.006746321605483081,-0.0011408996417476022,-6.628299788226976e-05,0.00044080356406954734,0.003068729946900539,-0.0005242783579863589,0.0013683542792984236,0.001633348648178549,-0.0015997944686611718,-0.0063445030381149925,-0.006283665816907606,-0.0043632965497271544,0.005002378412047184,0.0007362613127091348,-0.008682716419927922,-0.008193123175287384,-0.004768445292972914,-0.0027387584353345588,0.0017273899998280482,-0.0051121392118570865,0.0021598897508535732,-0.0060922185770900675,0.004499584615549479,-0.0024992306182135635,-0.002687165244928633,-0.002140618246235144,-0.00020902703093695656,-0.0017415115435342888,0.001523818003326952,-5.927657664450385e-05,-0.003226612664681474,0.0006937645860782065,-0.0034546014997341125
0_1500_5,-0.010041614871230894,-0.0024959192904243075,0.006002801150041256,0.005236328100696959,0.0014026127136381136,0.005082514397322156,0.0022921821061428695,0.0041595833556493204,-0.014100217497367073,0.000509864180869467,0.011532776006439097,0.006198014404466636,-0.0038129098717708735,0.004617948667805482,0.0011475311337780408,-0.0007067690882589316,0.001555928162593462,0.025308162013523584,-0.011555387535047552,0.008064357651748618,-0.013364903462532829,-0.0038186044433625005,0.012649367152696846,-0.00626915812531321,-0.0024877364643685626,-0.0036760073377367923,0.01633349490105531,-0.007368675854804634,-0.011685933158060354,-0.015012350737497845,0.011260387647363333,-0.010913072114961906,-0.003679837004984987,-0.004441110771924464,-0.015077248894490542,0.007731628336177435,-0.012797171517739027,-0.00766393392519227,-0.0012586438473498932,-0.004242807431618363,0.006179053380990659,-0.0019772303025656903,-0.010665536223655257,-0.004542776218142472,-0.005018608881090236,-0.008695034346356727
0_2500_5,-0.0017929501592114988,0.0009067892404167298,-0.0028205374435057396,-0.0029288244905284633,-0.010995054245609278,0.0015664979630916095,-0.0019115687731523863,-0.0034209952501747434,-0.0029821615672951736,0.013364165950058848,0.0022613862983699145,0.034519517298623084,0.000910065050092375,0.0033220722669735346,0.004404525423199888,0.002469624756680015,-0.0011484839870001082,0.005028824353956128,0.002818798087383083,0.004541919666769158,-0.014741209910287857,-0.004772491022094683,0.0011660412650573253,-0.01646446956232187,0.004233445144107074,0.007468467794025047,0.0310278832792446,-0.000848982406215423,-0.038708559259496365,-0.010781875804888779,0.002634073136886786,-0.00966821961763868,-0.011801400684654472,-0.0012197897439784615,0.008617184026515068,0.0035440479860296323,0.010685983297941003,-0.0011153227850075466,-0.003973534819882435,8.946156281933129e-05,0.0004372884301410565,-0.0007771368243512222,-0.00012694209515242772,-0.0015524727114415845,-0.0019739241313669748,-0.007287143764245886
0_5000_5,0.0029472422535908173,0.001285349987553614,-0.00014354020214302158,-0.0015708483829249748,0.00113046569295269,-0.006943020413350172,-0.0019707509588291956,0.004349889008530205,0.030392703767988808,0.025549746974987197,-0.024735385950221674,0.018940181920716146,0.004332127547910825,-0.0033376154024131553,0.005620383230284809,-0.0004246174276141391,0.0025701286884326573,0.005314083362179418,0.0036639905299373156,0.0004124117303998019,-0.013632534693690997,0.009682656946105721,0.009574532007322854,0.024721660485202655,0.011223579180262315,0.012949990568489634,-0.004362306386218544,-0.01079848519761378,-0.06302835945943844,-0.011230459529685434,-0.011133863942600093,-0.023694403346341764,-0.009520832777237682,0.0011389384205923584,0.011906478107289769,0.0016292733312912706,0.005685179178456462,-0.0005831291890485646,-0.00610490089675186,0.0006413721238118212,-0.006167264013248371,0.00191778615676024,0.002565806920877966,0.005473121681896395,-0.004108499659076822,0.00939224302666453
0_7500_5,0.005853239787711908,0.0019853643560445323,0.0018923862346684735,-0.0027196694485904288,-0.0008217824391936133,-0.0012323981080248265,-0.006634834812239381,0.0007762895128269651,-0.004765547085230402,-0.0052591708292782195,-0.018520995967660474,0.020300710283044268,0.004623842286594421,0.0016334001563183139,0.005955746617112564,-0.0001671086862586646,0.0032224601253472455,0.00040914229037408045,0.0024141355510310307,0.005591674587018849,-0.013170366893944364,-0.0007009958836775795,0.0035516335204853655,0.015355149079023713,-0.0014330992365429616,0.01529333536202115,0.013254431406806145,-0.011209876093002598,-0.032322637303241704,-0.016384214365270534,-0.010525425984361845,-0.016250709369591474,-0.006573378784174869,0.0013316592953557063,-0.0013981173114859704,0.004178448626931171,-0.002870691537663841,-0.006217644526940752,-0.0035914194272360232,-0.0010070390726571613,-0.0012275520226419615,-0.007047740116082618,0.0100273597056564,0.005645054609519438,5.1406568087888155e-05,0.015377793904935108
0_1500_30,-0.0004901748714054087,-0.0007215061174931683,0.0005145477397711116,-0.0009148447169117497,-0.0030642868477317887,-0.0010383944331987902,-0.0015343488627187105,-0.0009962417793551892,0.005491111448846123,-0.041019411163318684,-0.02874292535223031,-0.0018354908796614116,0.00013857356296746772,0.0003044435300292714,-0.00020212245060831,0.0012564554640521661,0.0004228824146086071,-0.0002931767949224366,0.0028059318328999146,0.002458341100030882,0.0029902552196063486,-0.0008620580618540936,-0.0011506529500784162,-0.00807447552967942,-0.00875314521804319,0.06481780918356268,0.02893506633144568,0.00014428193762098043,-0.009622552565952002,0.0026561878766840903,0.0020630679934997742,-0.0014222204255291333,-0.0018352250156445761,-0.0005544342128502827,-0.0006477472777211294,0.006012808384462093,-0.001055279810600289,-0.0004813760872346034,-0.001132621581091075,-0.000523519624652606,-0.0002006135910675041,-0.0023322861824193962,-0.00014416121422678132,-0.0002533172677372804,-0.0008698355509076856,-0.0010991389559720074
0_3000_30,0.00292323416600952,0.003722397419760714,0.00023814211417949317,0.0006495981744802434,-0.00043299598244026617,0.001122265544560785,-0.0004187860018034557,0.0033278618090807673,0.0020905244172676795,-0.01631797097815052,-0.011978020540394766,0.004279829198460244,0.0008708028487956681,-0.00117740642007601,0.0018951622386627306,0.00357879373107736,-0.00015517474039204317,0.0005981996124449831,0.0036212262025834773,0.008718417254115735,0.0005649569119881518,-0.0044899276663917026,-0.003913872420913891,-0.009617332494364379,-0.007993478697003674,0.015864907259788095,0.003612306870045963,-0.004677979378410595,-0.004189416308452955,0.0010179655440331063,-0.0021514389124743564,0.00474286313331983,0.0006046696990597171,0.00018346955293719895,0.0011364630954767585,-0.0039000478290519124,-0.006460486216533925,0.003748397709598475,0.0036097622518004176,6.511358126094983e-05,0.000672242564699706,0.0016945653548001973,7.661522005550795e-05,-0.00016324776924933406,0.00023686121525835977,0.0010443494232229413
0_9000_30,-5.397625954202113e-05,-0.00041133215411806465,-0.0010471161949032414,0.0012379018138435794,-0.00014043408675951048,0.0010961425393092538,0.0012211473930464985,0.0007963802450265761,-0.0002224178989862218,-0.011349058147325505,-0.008781639468301022,0.0029892398214453443,-0.00018640368888796558,-0.0006005953184899035,0.012986451569433654,0.0035130707662037676,-0.001285927273176645,0.012612327141072677,0.004279003828310799,0.0026442985482803744,-0.009479106473909342,-0.00836361986173271,-0.015483189991353103,-0.005799511715677754,-0.011876410201096603,-0.002153531421315236,-0.004995461012183551,-0.017582069215505057,-0.007404646487462348,0.0008140713606444183,-0.0026866962354930787,0.003223376143889465,9.493744024643135e-05,0.005893301354502457,0.011307035481984355,-0.001950637427977756,0.021229825814153353,0.0006490999193920716,0.0008241847043451516,0.0001055499509523572,-5.56501911134721e-05,0.0006690059025148641,-0.0007770375751655301,0.0006539654287649646,-0.00015440181029965008,-0.0010496469199552424
0_15000_30,0.001261165839188739,-0.0016027447365212122,0.0006042192857341841,-0.0014828485962895147,-0.004715120470501983,-0.0009543480300348158,0.00011818422664822859,0.0008021906662664132,0.0011088073950652462,-0.009984902374114561,-0.008629290773625443,-0.006666160693008608,-5.58461485024705e-05,-0.004469173074853248,0.008174343453359083,-0.001984123324892083,-0.0036695869353910583,0.008466722875222809,0.0021600092556098914,0.0007428807949599793,-0.01065931093267836,-0.0032109197239487196,-0.010389155623808476,-0.007416630365665539,-0.01769707006151255,-0.00543820410424205,0.006758165026134823,-0.008937068577895965,-0.007951201849900787,0.009923850513952297,-0.002317009892190926,-0.0034812949826907072,0.00013015794560331486,0.01659839816794965,0.0250780639818611,-0.004351240684066352,0.006256265367431153,0.001285127345528333,-0.00030815376269551745,-0.0009500728469217157,0.002605949041518951,-0.009321336790554498,-0.0014399734326641933,0.0005201741063950879,0.002521241784015046,-0.0027302639222824415
