,conf,dim,budget,train_r2,test_r2
0,313,5,250,0.9864490226666561,0.9134579908802003
1,313,5,500,0.9837079887592675,0.9261147212523249
2,313,5,1500,0.9758274577301913,0.8804387325932967
3,313,5,2500,0.9533094865473757,0.7631944342910201
4,313,5,5000,0.9238814587038309,0.6557045865236446
5,313,5,7500,0.9093011624480705,0.5892951248463124
6,313,30,1500,0.9278640305943657,0.7310998823991269
7,313,30,3000,0.9155890243814948,0.7044212716105644
8,313,30,9000,0.8842794379864334,0.6940844716709564
9,313,30,15000,0.8950445911309665,0.6299735031023934
10,313,30,30000,0.8764064193876777,0.6109975091240546
11,313,30,45000,0.8800786345012087,0.5657833868729567
