,conf,dim,budget,train_r2,test_r2
0,153,5,250,0.9891579566286964,0.9292879787577369
1,153,5,500,0.9896357123620003,0.9464068980638218
2,153,5,1500,0.9754228444706422,0.8607554848905924
3,153,5,2500,0.9666281013463213,0.8372009685698025
4,153,5,5000,0.9023591792835319,0.5312257157997081
5,153,5,7500,0.9153832895250616,0.5047011076305816
6,153,30,1500,0.9869786016563709,0.9558644884548444
7,153,30,3000,0.9958330709683212,0.9724631788789833
8,153,30,9000,0.993264972004449,0.9691996701553949
9,153,30,15000,0.9934601579971039,0.9690222230665164
10,153,30,30000,0.9931642806707617,0.9697575570441337
11,153,30,45000,0.9913009181662178,0.9633740652528644
