,conf,dim,budget,train_r2,test_r2
0,365,5,250,0.989254586411799,0.933597218781524
1,365,5,500,0.9887560641957396,0.9403645538144729
2,365,5,1500,0.9801337123599284,0.8977377956708954
3,365,5,2500,0.9676072171295983,0.8028211905969556
4,365,5,5000,0.9245530995999246,0.6799083467967233
5,365,5,7500,0.9181385969503498,0.6124053700330478
6,365,30,1500,0.9061259006388909,0.6497616937991623
7,365,30,3000,0.9056548855794109,0.6747411846081335
8,365,30,9000,0.9186088983308552,0.688252222667102
9,365,30,15000,0.8951077947702742,0.6497204048304948
10,365,30,30000,0.9018133191762789,0.6326311622797964
11,365,30,45000,0.9008292900959752,0.6464708401604241
