,conf,dim,budget,train_r2,test_r2
0,232,5,250,0.9805268881082266,0.9186061049075546
1,232,5,500,0.9876927503206337,0.9293144618911215
2,232,5,1500,0.9904032673639002,0.9470336122846732
3,232,5,2500,0.9896717920640425,0.9470663315922915
4,232,5,5000,0.9836150065842076,0.9125578436796815
5,232,5,7500,0.9735370766800708,0.8686153564411537
6,232,30,1500,0.9938391323047442,0.9742383854514669
7,232,30,3000,0.9311493186166132,0.7835822750232289
8,232,30,9000,0.9961210678123879,0.9805970627630485
9,232,30,15000,0.996114692656373,0.97872167765681
10,232,30,30000,0.9956639240384664,0.9771520935346333
11,232,30,45000,0.9928843633860067,0.9693200698143588
