,conf,dim,budget,train_r2,test_r2
0,64,5,250,0.981491033136128,0.8855012692637269
1,64,5,500,0.979097805355377,0.8721822988496957
2,64,5,1500,0.9888590062634025,0.944022256894464
3,64,5,2500,0.9892312172361262,0.9425708267583287
4,64,5,5000,0.9837399310742285,0.9291822286016069
5,64,5,7500,0.9810893974137105,0.9003683281536619
6,64,30,1500,0.9934062534731491,0.967913854956478
7,64,30,3000,0.9906645367722492,0.9581953269108212
8,64,30,9000,0.9851482174992021,0.9603459209474814
9,64,30,15000,0.9903927734184105,0.9571433447110909
10,64,30,30000,0.9932603172196888,0.968554619328458
11,64,30,45000,0.9914567075429543,0.9656829139774086
