,conf,dim,budget,train_r2,test_r2
0,433,5,250,0.9887922404906966,0.9321035035045331
1,433,5,500,0.9841062109084449,0.9140890719645232
2,433,5,1500,0.9708727480652677,0.8258417702996221
3,433,5,2500,0.9447025307670629,0.6965310913884944
4,433,5,5000,0.9068485565476833,0.5727948445705866
5,433,5,7500,0.9317345116921125,0.6137998935192475
6,433,30,1500,0.9893888472791007,0.9218167545311207
7,433,30,3000,0.9858996038679173,0.9387612525644201
8,433,30,9000,0.9915381109213761,0.9604049406317084
9,433,30,15000,0.9897798652579226,0.9469556133407189
10,433,30,30000,0.9914850608753445,0.971099580937787
11,433,30,45000,0.9943365985921068,0.9758596332636318
