,conf,dim,budget,train_r2,test_r2
0,518,5,250,0.976325828818946,0.8884295268435146
1,518,5,500,0.9337017634826393,0.7906741057384797
2,518,5,1500,0.9875604133743119,0.8956535563922907
3,518,5,2500,0.9855618541821615,0.9328067905472676
4,518,5,5000,0.9880284401089139,0.945982349065037
5,518,5,7500,0.984130306810745,0.9283639314897094
6,518,30,1500,0.9935555083423759,0.9655156432360323
7,518,30,3000,0.9899914128697294,0.9496584681041268
8,518,30,9000,0.9898217144704808,0.9458441655689267
9,518,30,15000,0.9907210349188389,0.9416671496497375
10,518,30,30000,0.9881922302723014,0.939087934639671
11,518,30,45000,0.9875215024347577,0.9566585097178884
