,conf,dim,budget,train_r2,test_r2
0,209,5,250,0.9667540977462729,0.8236475946296202
1,209,5,500,0.9053226402421849,0.6281729855400923
2,209,5,1500,0.866161124388207,0.29088382357432957
3,209,5,2500,0.8442430597225774,0.41265252327889546
4,209,5,5000,0.8319858729629388,0.3937680268122861
5,209,5,7500,0.8457962035705224,0.3907434180799557
6,209,30,1500,0.9911669775379179,0.9483500981162944
7,209,30,3000,0.9904733651805261,0.9490182337581254
8,209,30,9000,0.9865762248011383,0.9088572164747226
9,209,30,15000,0.9318316768875512,0.7460092226033174
10,209,30,30000,0.8947825675164441,0.7079878647683371
11,209,30,45000,0.8845682241645353,0.7179094700837959
