,conf,dim,budget,train_r2,test_r2
0,39,5,250,0.9861593631449622,0.9087490867187669
1,39,5,500,0.9866220116949128,0.9284667941979216
2,39,5,1500,0.9609508842848724,0.77271308683962
3,39,5,2500,0.9655778794281782,0.775845582884057
4,39,5,5000,0.9623914551968717,0.7078990636565411
5,39,5,7500,0.9637033160129066,0.7382546389725521
6,39,30,1500,0.958573893952466,0.843631277802864
7,39,30,3000,0.9942290428271228,0.9736148103444815
8,39,30,9000,0.9905503592781809,0.9425062363283934
9,39,30,15000,0.9790090145229418,0.8685634911066746
10,39,30,30000,0.9622565680453885,0.7795286820587574
11,39,30,45000,0.9701304417418006,0.8121505280370158
