,conf,dim,budget,train_r2,test_r2
0,189,5,250,0.9890175367670132,0.9249485549922014
1,189,5,500,0.9871577192286759,0.9282889316588412
2,189,5,1500,0.9802288201978975,0.8568545663226196
3,189,5,2500,0.972150023697217,0.8704992365657258
4,189,5,5000,0.939857380886364,0.6059943258289774
5,189,5,7500,0.9000449541397828,0.42999373681681297
6,189,30,1500,0.9834976904373794,0.9473619282796006
7,189,30,3000,0.9957739679797404,0.9768733202420119
8,189,30,9000,0.9928759585821597,0.9674520554989078
9,189,30,15000,0.9952133703354171,0.9751854934807007
10,189,30,30000,0.9814604287150507,0.878918873684456
11,189,30,45000,0.9814185156788039,0.8815970771919825
