,conf,dim,budget,train_r2,test_r2
0,418,5,250,0.9710558631482723,0.90268041860711
1,418,5,500,0.9779073593219909,0.8846562900895416
2,418,5,1500,0.9870993794730824,0.9055036714525233
3,418,5,2500,0.9885982616254303,0.9114340028764929
4,418,5,5000,0.9844557314943418,0.9108542372504672
5,418,5,7500,0.9873024613324383,0.9251535114120714
6,418,30,1500,0.9936781564312636,0.9653740392479124
7,418,30,3000,0.992275282517431,0.9688543687647211
8,418,30,9000,0.988283985249587,0.9539086403444411
9,418,30,15000,0.9909334061770565,0.9509371873374993
10,418,30,30000,0.9895108077899524,0.93218623387626
11,418,30,45000,0.9958814763955808,0.976822228377819
