,conf,dim,budget,train_r2,test_r2
0,561,5,250,0.9869462178226074,0.9294636530378441
1,561,5,500,0.9889834567502458,0.9312496448882875
2,561,5,1500,0.977587871478604,0.8019002033966369
3,561,5,2500,0.9490671720395956,0.7350991455197102
4,561,5,5000,0.9416655923261661,0.615229583949368
5,561,5,7500,0.9285601097395967,0.5618003319178043
6,561,30,1500,0.9900045673400643,0.9497861125223093
7,561,30,3000,0.9880088754176242,0.9298922181848331
8,561,30,9000,0.9934047763473302,0.9737964319221952
9,561,30,15000,0.9915222808313556,0.9702101185443217
10,561,30,30000,0.9705944731332474,0.8627811693274783
11,561,30,45000,0.9709007636166449,0.8525046484234446
