"","DIM","funcId","ID","runtime","run","f(x)","instance"
"110",5,1,"conf_125",500,19,0.0002844105,2
"111",5,1,"conf_125",1500,19,8e-10,2
"112",5,1,"conf_125",2500,19,8e-10,2
"113",5,1,"conf_125",5000,19,8e-10,2
"114",5,1,"conf_125",7500,19,8e-10,2
"115",5,1,"conf_125",250,20,0.0505964223,2
"116",5,1,"conf_125",500,20,0.0001787345,2
"117",5,1,"conf_125",1500,20,6e-10,2
"118",5,1,"conf_125",2500,20,6e-10,2
"119",5,1,"conf_125",5000,20,6e-10,2
"120",5,1,"conf_125",7500,20,6e-10,2
"121",5,1,"conf_125",250,21,0.0052956338,5
"122",5,1,"conf_125",500,21,5.75294e-05,5
"123",5,1,"conf_125",1500,21,9e-10,5
"124",5,1,"conf_125",2500,21,9e-10,5
"125",5,1,"conf_125",5000,21,9e-10,5
"126",5,1,"conf_125",7500,21,9e-10,5
"127",5,1,"conf_125",250,22,0.1009914577,5
"128",5,1,"conf_125",500,22,0.0009287477,5
"129",5,1,"conf_125",1500,22,8e-10,5
"130",5,1,"conf_125",2500,22,8e-10,5
"131",5,1,"conf_125",5000,22,8e-10,5
"132",5,1,"conf_125",7500,22,8e-10,5
"133",5,1,"conf_125",250,23,0.111505813,5
"134",5,1,"conf_125",500,23,0.0005888748,5
"135",5,1,"conf_125",1500,23,1e-09,5
"136",5,1,"conf_125",2500,23,1e-09,5
"137",5,1,"conf_125",5000,23,1e-09,5
"138",5,1,"conf_125",7500,23,1e-09,5
"139",5,1,"conf_125",250,24,0.0216350672,5
"140",5,1,"conf_125",500,24,0.0003337034,5
"141",5,1,"conf_125",1500,24,5e-10,5
"142",5,1,"conf_125",2500,24,5e-10,5
"143",5,1,"conf_125",5000,24,5e-10,5
"144",5,1,"conf_125",7500,24,5e-10,5
"145",5,1,"conf_125",250,25,0.1272829691,5
"146",5,1,"conf_125",500,25,0.0004174804,5
"147",5,1,"conf_125",1500,25,9e-10,5
"148",5,1,"conf_125",2500,25,9e-10,5
"149",5,1,"conf_125",5000,25,9e-10,5
"150",5,1,"conf_125",7500,25,9e-10,5
"151",5,1,"conf_125",250,26,0.1089015291,5
"152",5,1,"conf_125",500,26,0.0008288002,5
"153",5,1,"conf_125",1500,26,1e-10,5
"154",5,1,"conf_125",2500,26,1e-10,5
"155",5,1,"conf_125",5000,26,1e-10,5
"156",5,1,"conf_125",7500,26,1e-10,5
"157",5,1,"conf_125",250,27,0.0608095846,5
"158",5,1,"conf_125",500,27,0.0002276629,5
"159",5,1,"conf_125",1500,27,9e-10,5
"160",5,1,"conf_125",2500,27,9e-10,5
"161",5,1,"conf_125",5000,27,9e-10,5
"162",5,1,"conf_125",7500,27,9e-10,5
"163",5,1,"conf_125",250,28,0.0248103861,5
"164",5,1,"conf_125",500,28,7.86449e-05,5
"165",5,1,"conf_125",1500,28,8e-10,5
"166",5,1,"conf_125",2500,28,8e-10,5
"167",5,1,"conf_125",5000,28,8e-10,5
"168",5,1,"conf_125",7500,28,8e-10,5
"169",5,1,"conf_125",250,29,0.0386489643,5
"170",5,1,"conf_125",500,29,0.0002515012,5
"171",5,1,"conf_125",1500,29,3e-10,5
"172",5,1,"conf_125",2500,29,3e-10,5
"173",5,1,"conf_125",5000,29,3e-10,5
"174",5,1,"conf_125",7500,29,3e-10,5
"175",5,1,"conf_125",250,30,0.1483337562,5
"176",5,1,"conf_125",500,30,0.0001766194,5
"177",5,1,"conf_125",1500,30,1e-09,5
"178",5,1,"conf_125",2500,30,1e-09,5
"179",5,1,"conf_125",5000,30,1e-09,5
"180",5,1,"conf_125",7500,30,1e-09,5
"181",5,1,"conf_125",250,31,0.0554932501,4
"182",5,1,"conf_125",500,31,0.0006346744,4
"183",5,1,"conf_125",1500,31,7e-10,4
"184",5,1,"conf_125",2500,31,7e-10,4
"185",5,1,"conf_125",5000,31,7e-10,4
"186",5,1,"conf_125",7500,31,7e-10,4
"187",5,1,"conf_125",250,32,0.1488234369,4
"188",5,1,"conf_125",500,32,0.0003965827,4
"189",5,1,"conf_125",1500,32,6e-10,4
"190",5,1,"conf_125",2500,32,6e-10,4
"191",5,1,"conf_125",5000,32,6e-10,4
"192",5,1,"conf_125",7500,32,6e-10,4
"193",5,1,"conf_125",250,33,0.043816383,4
"194",5,1,"conf_125",500,33,0.0004820097,4
"195",5,1,"conf_125",1500,33,8e-10,4
"196",5,1,"conf_125",2500,33,8e-10,4
"197",5,1,"conf_125",5000,33,8e-10,4
"198",5,1,"conf_125",7500,33,8e-10,4
"199",5,1,"conf_125",250,34,0.1058775165,4
"200",5,1,"conf_125",500,34,0.0003480466,4
"201",5,1,"conf_125",1500,34,1e-09,4
"202",5,1,"conf_125",2500,34,1e-09,4
"203",5,1,"conf_125",5000,34,1e-09,4
"204",5,1,"conf_125",7500,34,1e-09,4
"205",5,1,"conf_125",250,35,0.0306484823,4
"206",5,1,"conf_125",500,35,0.0004164699,4
"207",5,1,"conf_125",1500,35,7e-10,4
"208",5,1,"conf_125",2500,35,7e-10,4
"209",5,1,"conf_125",5000,35,7e-10,4
"210",5,1,"conf_125",7500,35,7e-10,4
"211",5,1,"conf_125",250,36,0.2042496572,4
"212",5,1,"conf_125",500,36,0.0003559097,4
"213",5,1,"conf_125",1500,36,7e-10,4
"214",5,1,"conf_125",2500,36,7e-10,4
"215",5,1,"conf_125",5000,36,7e-10,4
"216",5,1,"conf_125",7500,36,7e-10,4
"217",5,1,"conf_125",250,37,0.2251990346,4
"218",5,1,"conf_125",500,37,0.0013748329,4
"219",5,1,"conf_125",1500,37,1e-10,4
"220",5,1,"conf_125",2500,37,1e-10,4
"221",5,1,"conf_125",5000,37,1e-10,4
"222",5,1,"conf_125",7500,37,1e-10,4
"223",5,1,"conf_125",250,38,0.1349011471,4
"224",5,1,"conf_125",500,38,0.0001332335,4
"225",5,1,"conf_125",1500,38,9e-10,4
"226",5,1,"conf_125",2500,38,9e-10,4
"227",5,1,"conf_125",5000,38,9e-10,4
"228",5,1,"conf_125",7500,38,9e-10,4
"229",5,1,"conf_125",250,39,0.144578662,4
"230",5,1,"conf_125",500,39,0.0014570555,4
"231",5,1,"conf_125",1500,39,4e-10,4
"232",5,1,"conf_125",2500,39,4e-10,4
"233",5,1,"conf_125",5000,39,4e-10,4
"234",5,1,"conf_125",7500,39,4e-10,4
"235",5,1,"conf_125",250,40,0.1105712041,4
"236",5,1,"conf_125",500,40,0.0007371111,4
"237",5,1,"conf_125",1500,40,5e-10,4
"238",5,1,"conf_125",2500,40,5e-10,4
"239",5,1,"conf_125",5000,40,5e-10,4
"240",5,1,"conf_125",7500,40,5e-10,4
"241",5,1,"conf_125",250,41,0.0367671728,3
"242",5,1,"conf_125",500,41,0.0001807633,3
"243",5,1,"conf_125",1500,41,7e-10,3
"244",5,1,"conf_125",2500,41,7e-10,3
"245",5,1,"conf_125",5000,41,7e-10,3
"246",5,1,"conf_125",7500,41,7e-10,3
"247",5,1,"conf_125",250,42,0.0902729842,3
"248",5,1,"conf_125",500,42,0.0003869663,3
"249",5,1,"conf_125",1500,42,9e-10,3
"250",5,1,"conf_125",2500,42,9e-10,3
"251",5,1,"conf_125",5000,42,9e-10,3
"252",5,1,"conf_125",7500,42,9e-10,3
"253",5,1,"conf_125",250,43,0.2069314999,3
"254",5,1,"conf_125",500,43,0.0003323832,3
"255",5,1,"conf_125",1500,43,7e-10,3
"256",5,1,"conf_125",2500,43,7e-10,3
"257",5,1,"conf_125",5000,43,7e-10,3
"258",5,1,"conf_125",7500,43,7e-10,3
"259",5,1,"conf_125",250,44,0.1409634742,3
"260",5,1,"conf_125",500,44,0.0005247432,3
"261",5,1,"conf_125",1500,44,4e-10,3
"262",5,1,"conf_125",2500,44,4e-10,3
"263",5,1,"conf_125",5000,44,4e-10,3
"264",5,1,"conf_125",7500,44,4e-10,3
"265",5,1,"conf_125",250,45,0.1079376217,3
"266",5,1,"conf_125",500,45,0.0009674729,3
"267",5,1,"conf_125",1500,45,6e-10,3
"268",5,1,"conf_125",2500,45,6e-10,3
"269",5,1,"conf_125",5000,45,6e-10,3
"270",5,1,"conf_125",7500,45,6e-10,3
"271",5,1,"conf_125",250,46,0.1825095335,3
"272",5,1,"conf_125",500,46,0.0004915169,3
"273",5,1,"conf_125",1500,46,4e-10,3
"274",5,1,"conf_125",2500,46,4e-10,3
"275",5,1,"conf_125",5000,46,4e-10,3
"276",5,1,"conf_125",7500,46,4e-10,3
"277",5,1,"conf_125",250,47,0.0953830748,3
"278",5,1,"conf_125",500,47,0.0002765689,3
"279",5,1,"conf_125",1500,47,4e-10,3
"280",5,1,"conf_125",2500,47,4e-10,3
"281",5,1,"conf_125",5000,47,4e-10,3
"282",5,1,"conf_125",7500,47,4e-10,3
"283",5,1,"conf_125",250,48,0.0533899442,3
"284",5,1,"conf_125",500,48,2.52402e-05,3
"285",5,1,"conf_125",1500,48,5e-10,3
"286",5,1,"conf_125",2500,48,5e-10,3
"287",5,1,"conf_125",5000,48,5e-10,3
"288",5,1,"conf_125",7500,48,5e-10,3
"289",5,1,"conf_125",250,49,0.1213176177,3
"290",5,1,"conf_125",500,49,0.0006696153,3
"291",5,1,"conf_125",1500,49,1e-09,3
"292",5,1,"conf_125",2500,49,1e-09,3
"293",5,1,"conf_125",5000,49,1e-09,3
"294",5,1,"conf_125",7500,49,1e-09,3
"295",5,1,"conf_125",250,50,0.0966243135,3
"296",5,1,"conf_125",500,50,0.0002491103,3
"297",5,1,"conf_125",1500,50,5e-10,3
"298",5,1,"conf_125",2500,50,5e-10,3
"299",5,1,"conf_125",5000,50,5e-10,3
"300",5,1,"conf_125",7500,50,5e-10,3
"301",5,10,"conf_125",250,1,2475.4744182427,2
"302",5,10,"conf_125",500,1,181.0189659265,2
"303",5,10,"conf_125",1500,1,1.1979393857,2
"304",5,10,"conf_125",2500,1,8e-10,2
"305",5,10,"conf_125",5000,1,8e-10,2
"306",5,10,"conf_125",7500,1,8e-10,2
"307",5,10,"conf_125",250,2,136.9152793381,2
"308",5,10,"conf_125",500,2,32.6116701972,2
"309",5,10,"conf_125",1500,2,0.3415651656,2
"310",5,10,"conf_125",2500,2,6e-10,2
"311",5,10,"conf_125",5000,2,6e-10,2
"312",5,10,"conf_125",7500,2,6e-10,2
"313",5,10,"conf_125",250,3,159.464736299,2
