"","DIM","funcId","ID","runtime","run","f(x)","instance"
"1",30,1,"conf_209",1500,1,37.9869768101,1
"2",30,1,"conf_209",3000,1,24.9450490583,1
"3",30,1,"conf_209",9000,1,1.0149668082,1
"4",30,1,"conf_209",15000,1,0.1648240692,1
"5",30,1,"conf_209",30000,1,0.154258548,1
"6",30,1,"conf_209",45000,1,0.0192316658,1
"7",30,1,"conf_209",1500,2,37.9869768101,1
"8",30,1,"conf_209",3000,2,24.9450490583,1
"9",30,1,"conf_209",9000,2,1.0149668082,1
"10",30,1,"conf_209",15000,2,0.1648240692,1
"11",30,1,"conf_209",30000,2,0.154258548,1
"12",30,1,"conf_209",45000,2,0.0374727528,1
"13",30,1,"conf_209",1500,3,37.9869768101,1
"14",30,1,"conf_209",3000,3,24.9450490583,1
"15",30,1,"conf_209",9000,3,1.0149668082,1
"16",30,1,"conf_209",15000,3,0.1648240692,1
"17",30,1,"conf_209",30000,3,0.154258548,1
"18",30,1,"conf_209",45000,3,0.0165185038,1
"19",30,1,"conf_209",1500,4,37.9869768101,1
"20",30,1,"conf_209",3000,4,24.9450490583,1
"21",30,1,"conf_209",9000,4,1.0149668082,1
"22",30,1,"conf_209",15000,4,0.1648240692,1
"23",30,1,"conf_209",30000,4,0.154258548,1
"24",30,1,"conf_209",45000,4,0.0141207385,1
"25",30,1,"conf_209",1500,5,37.9869768101,1
"26",30,1,"conf_209",3000,5,24.9450490583,1
"27",30,1,"conf_209",9000,5,1.0149668082,1
"28",30,1,"conf_209",15000,5,0.1648240692,1
"29",30,1,"conf_209",30000,5,0.154258548,1
"30",30,1,"conf_209",45000,5,0.001112475,1
"31",30,1,"conf_209",1500,6,37.9869768101,1
"32",30,1,"conf_209",3000,6,24.9450490583,1
"33",30,1,"conf_209",9000,6,1.0149668082,1
"34",30,1,"conf_209",15000,6,0.1648240692,1
"35",30,1,"conf_209",30000,6,0.154258548,1
"36",30,1,"conf_209",45000,6,0.0759491504,1
"37",30,1,"conf_209",1500,7,37.9869768101,1
"38",30,1,"conf_209",3000,7,24.9450490583,1
"39",30,1,"conf_209",9000,7,1.0149668082,1
"40",30,1,"conf_209",15000,7,0.1648240692,1
"41",30,1,"conf_209",30000,7,0.154258548,1
"42",30,1,"conf_209",45000,7,0.0055279294,1
"43",30,1,"conf_209",1500,8,37.9869768101,1
"44",30,1,"conf_209",3000,8,24.9450490583,1
"45",30,1,"conf_209",9000,8,1.0149668082,1
"46",30,1,"conf_209",15000,8,0.1648240692,1
"47",30,1,"conf_209",30000,8,0.154258548,1
"48",30,1,"conf_209",45000,8,0.0530564744,1
"49",30,1,"conf_209",1500,9,37.9869768101,1
"50",30,1,"conf_209",3000,9,24.9450490583,1
"51",30,1,"conf_209",9000,9,1.0149668082,1
"52",30,1,"conf_209",15000,9,0.1648240692,1
"53",30,1,"conf_209",30000,9,0.154258548,1
"54",30,1,"conf_209",45000,9,0.0063497581,1
"55",30,1,"conf_209",1500,10,37.9869768101,1
"56",30,1,"conf_209",3000,10,24.9450490583,1
"57",30,1,"conf_209",9000,10,1.0149668082,1
"58",30,1,"conf_209",15000,10,0.1648240692,1
"59",30,1,"conf_209",30000,10,0.154258548,1
"60",30,1,"conf_209",45000,10,0.0131634615,1
"61",30,1,"conf_209",1500,11,43.6024657213,4
"62",30,1,"conf_209",3000,11,21.1893971179,4
"63",30,1,"conf_209",9000,11,1.2936270199,4
"64",30,1,"conf_209",15000,11,1.215046021,4
"65",30,1,"conf_209",30000,11,0.049990023,4
"66",30,1,"conf_209",45000,11,0.0005761907,4
"67",30,1,"conf_209",1500,12,43.6024657213,4
"68",30,1,"conf_209",3000,12,21.1893971179,4
"69",30,1,"conf_209",9000,12,1.2936270199,4
"70",30,1,"conf_209",15000,12,1.215046021,4
"71",30,1,"conf_209",30000,12,0.0461159492,4
"72",30,1,"conf_209",45000,12,0.0004443024,4
"73",30,1,"conf_209",1500,13,43.6024657213,4
"74",30,1,"conf_209",3000,13,21.1893971179,4
"75",30,1,"conf_209",9000,13,1.2936270199,4
"76",30,1,"conf_209",15000,13,1.215046021,4
"77",30,1,"conf_209",30000,13,0.0794787601,4
"78",30,1,"conf_209",45000,13,0.0014926227,4
"79",30,1,"conf_209",1500,14,43.6024657213,4
"80",30,1,"conf_209",3000,14,21.1893971179,4
"81",30,1,"conf_209",9000,14,1.2936270199,4
"82",30,1,"conf_209",15000,14,1.215046021,4
"83",30,1,"conf_209",30000,14,0.1289201425,4
"84",30,1,"conf_209",45000,14,0.00112266,4
"85",30,1,"conf_209",1500,15,43.6024657213,4
"86",30,1,"conf_209",3000,15,21.1893971179,4
"87",30,1,"conf_209",9000,15,1.2936270199,4
"88",30,1,"conf_209",15000,15,1.215046021,4
"89",30,1,"conf_209",30000,15,0.1280290807,4
"90",30,1,"conf_209",45000,15,0.0008356625,4
"91",30,1,"conf_209",1500,16,43.6024657213,4
"92",30,1,"conf_209",3000,16,21.1893971179,4
"93",30,1,"conf_209",9000,16,1.2936270199,4
"94",30,1,"conf_209",15000,16,1.215046021,4
"95",30,1,"conf_209",30000,16,0.0630155834,4
"96",30,1,"conf_209",45000,16,0.0009140716,4
"97",30,1,"conf_209",1500,17,43.6024657213,4
"98",30,1,"conf_209",3000,17,21.1893971179,4
"99",30,1,"conf_209",9000,17,1.2936270199,4
"100",30,1,"conf_209",15000,17,1.215046021,4
"101",30,1,"conf_209",30000,17,0.0229272788,4
"102",30,1,"conf_209",45000,17,0.0006616981,4
"103",30,1,"conf_209",1500,18,43.6024657213,4
"104",30,1,"conf_209",3000,18,21.1893971179,4
"105",30,1,"conf_209",9000,18,1.2936270199,4
"106",30,1,"conf_209",15000,18,1.215046021,4
"107",30,1,"conf_209",30000,18,0.1134939578,4
"108",30,1,"conf_209",45000,18,0.0009458513,4
"109",30,1,"conf_209",1500,19,43.6024657213,4
"110",30,1,"conf_209",3000,19,21.1893971179,4
"111",30,1,"conf_209",9000,19,1.2936270199,4
"112",30,1,"conf_209",15000,19,1.215046021,4
"113",30,1,"conf_209",30000,19,0.0166685192,4
"114",30,1,"conf_209",45000,19,0.0018198945,4
"115",30,1,"conf_209",1500,20,43.6024657213,4
"116",30,1,"conf_209",3000,20,21.1893971179,4
"117",30,1,"conf_209",9000,20,1.2936270199,4
"118",30,1,"conf_209",15000,20,1.215046021,4
"119",30,1,"conf_209",30000,20,0.0565324595,4
"120",30,1,"conf_209",45000,20,0.0006162509,4
"121",30,1,"conf_209",1500,21,16.176211508,2
"122",30,1,"conf_209",3000,21,2.8011175483,2
"123",30,1,"conf_209",9000,21,0.4352580096,2
"124",30,1,"conf_209",15000,21,0.081975036,2
"125",30,1,"conf_209",30000,21,0.0030600329,2
"126",30,1,"conf_209",45000,21,0.0005991896,2
"127",30,1,"conf_209",1500,22,16.176211508,2
"128",30,1,"conf_209",3000,22,2.8011175483,2
"129",30,1,"conf_209",9000,22,0.4352580096,2
"130",30,1,"conf_209",15000,22,0.081975036,2
"131",30,1,"conf_209",30000,22,0.0030600329,2
"132",30,1,"conf_209",45000,22,0.0005991896,2
"133",30,1,"conf_209",1500,23,16.176211508,2
"134",30,1,"conf_209",3000,23,2.8011175483,2
"135",30,1,"conf_209",9000,23,0.4352580096,2
"136",30,1,"conf_209",15000,23,0.081975036,2
"137",30,1,"conf_209",30000,23,0.0030600329,2
"138",30,1,"conf_209",45000,23,0.0005991896,2
"139",30,1,"conf_209",1500,24,16.176211508,2
"140",30,1,"conf_209",3000,24,2.8011175483,2
"141",30,1,"conf_209",9000,24,0.4352580096,2
"142",30,1,"conf_209",15000,24,0.081975036,2
"143",30,1,"conf_209",30000,24,0.0030600329,2
"144",30,1,"conf_209",45000,24,0.0005991896,2
"145",30,1,"conf_209",1500,25,16.176211508,2
"146",30,1,"conf_209",3000,25,2.8011175483,2
"147",30,1,"conf_209",9000,25,0.4352580096,2
"148",30,1,"conf_209",15000,25,0.081975036,2
"149",30,1,"conf_209",30000,25,0.0030600329,2
"150",30,1,"conf_209",45000,25,0.0005991896,2
"151",30,1,"conf_209",1500,26,16.176211508,2
"152",30,1,"conf_209",3000,26,2.8011175483,2
"153",30,1,"conf_209",9000,26,0.4352580096,2
"154",30,1,"conf_209",15000,26,0.081975036,2
