,module,dim,budget,acc,f1
0,elitist,5,250,1.0,1.0
1,elitist,5,500,1.0,1.0
2,elitist,5,1500,1.0,1.0
3,elitist,5,2500,1.0,1.0
4,elitist,5,5000,1.0,1.0
5,elitist,5,7500,1.0,1.0
6,elitist,30,1500,1.0,1.0
7,elitist,30,3000,1.0,1.0
8,elitist,30,9000,1.0,1.0
9,elitist,30,15000,1.0,1.0
10,elitist,30,30000,1.0,1.0
11,elitist,30,45000,1.0,1.0
12,mirrored,5,250,0.8057765151515153,0.7979129387368011
13,mirrored,5,500,0.799810606060606,0.7950206855730219
14,mirrored,5,1500,0.796780303030303,0.7872577633335026
15,mirrored,5,2500,0.756344696969697,0.7473850493684703
16,mirrored,5,5000,0.6420454545454546,0.6357305063357694
17,mirrored,5,7500,0.6139204545454545,0.6072290602265026
18,mirrored,30,1500,0.8555871212121211,0.8523631654099997
19,mirrored,30,3000,0.8493371212121211,0.8490070652443181
20,mirrored,30,9000,0.7633522727272728,0.7563521464371458
21,mirrored,30,15000,0.7383522727272728,0.7270459730515991
22,mirrored,30,30000,0.7102272727272727,0.7053534080356891
23,mirrored,30,45000,0.7128787878787879,0.703835764244231
24,base_sampler,5,250,0.8770833333333332,0.8781282284950249
25,base_sampler,5,500,0.8888257575757577,0.8875117226798558
26,base_sampler,5,1500,0.9011363636363636,0.8985927939988878
27,base_sampler,5,2500,0.8767992424242423,0.8685678094707574
28,base_sampler,5,5000,0.7899621212121212,0.7819794744029469
29,base_sampler,5,7500,0.7560606060606061,0.750363668881636
30,base_sampler,30,1500,0.6945075757575758,0.6868375871348007
31,base_sampler,30,3000,0.7183712121212121,0.7079814569102495
32,base_sampler,30,9000,0.7255681818181818,0.7201130686286048
33,base_sampler,30,15000,0.734375,0.7221932700965201
34,base_sampler,30,30000,0.718844696969697,0.711516060885461
35,base_sampler,30,45000,0.7715909090909091,0.7625450889112112
36,weights_option,5,250,0.7659090909090909,0.7551294002433455
37,weights_option,5,500,0.778314393939394,0.773226584306945
38,weights_option,5,1500,0.8,0.7905900275029132
39,weights_option,5,2500,0.7570075757575758,0.7486984653840637
40,weights_option,5,5000,0.8091856060606061,0.8002249799744918
41,weights_option,5,7500,0.7598484848484849,0.7464309115487283
42,weights_option,30,1500,0.9907196969696969,0.9905344495508237
43,weights_option,30,3000,0.990625,0.9900555555555556
44,weights_option,30,9000,0.99375,0.9937818740399387
45,weights_option,30,15000,0.9907196969696969,0.9901181849551415
46,weights_option,30,30000,0.9813446969696968,0.982296512293076
47,weights_option,30,45000,0.9754734848484847,0.9745807560172886
48,local_restart,5,250,0.3114583333333333,0.25649767289833475
49,local_restart,5,500,0.2804924242424242,0.1890390513155735
50,local_restart,5,1500,0.49981060606060607,0.47796321713546996
51,local_restart,5,2500,0.5829545454545455,0.5578835505691521
52,local_restart,5,5000,0.706060606060606,0.6963723247437182
53,local_restart,5,7500,0.7068181818181818,0.6955196502519831
54,local_restart,30,1500,0.30520833333333336,0.22284229783908863
55,local_restart,30,3000,0.2680871212121212,0.17812957859469486
56,local_restart,30,9000,0.5335227272727272,0.5257309098808348
57,local_restart,30,15000,0.5524621212121212,0.5459653054422248
58,local_restart,30,30000,0.678409090909091,0.6808780835868937
59,local_restart,30,45000,0.7154356060606061,0.717343949445309
60,step_size_adaptation,5,250,1.0,1.0
61,step_size_adaptation,5,500,1.0,1.0
62,step_size_adaptation,5,1500,0.9844696969696969,0.9842114717976788
63,step_size_adaptation,5,2500,0.9817234848484848,0.9811888807601881
64,step_size_adaptation,5,5000,0.9536931818181819,0.9517983918240436
65,step_size_adaptation,5,7500,0.9412878787878789,0.9391902433650371
66,step_size_adaptation,30,1500,1.0,1.0
67,step_size_adaptation,30,3000,1.0,1.0
68,step_size_adaptation,30,9000,0.984564393939394,0.9834123615671866
69,step_size_adaptation,30,15000,0.9876893939393939,0.9873965846709749
70,step_size_adaptation,30,30000,0.9724431818181818,0.9716918035806046
71,step_size_adaptation,30,45000,0.981534090909091,0.9807179601294471
