,conf,dim,budget,train_r2,test_r2
0,313,5,250,0.9283765091249812,0.6866214335640658
1,313,5,500,0.8833541854885685,0.2898182818008032
2,313,5,1500,0.9040441677023707,0.6217794459767253
3,313,5,2500,0.9102930035587953,0.5983798505672693
4,313,5,5000,0.8776333789322475,0.5416564938554098
5,313,5,7500,0.9185869214002471,0.6020618915159079
6,313,30,1500,0.9895036662793508,0.9351603991568375
7,313,30,3000,0.98577142495203,0.9210141726311226
8,313,30,9000,0.9858356615401448,0.9052255539636482
9,313,30,15000,0.9847476369172854,0.8945102644315478
10,313,30,30000,0.983848315432992,0.8913159922044567
11,313,30,45000,0.9784279356595642,0.8872563316922808
