,conf,dim,budget,train_r2,test_r2
0,251,5,250,0.9241870910832631,0.43859907366760986
1,251,5,500,0.9820233373618885,0.8937040996043105
2,251,5,1500,0.9296810010244723,0.6766214023487034
3,251,5,2500,0.9315463762454378,0.6337666739403565
4,251,5,5000,0.9416991260851552,0.6564439462067396
5,251,5,7500,0.9338029256892956,0.6507882932217328
6,251,30,1500,0.9898916694345796,0.9454757984467111
7,251,30,3000,0.985067174919416,0.9251356495611193
8,251,30,9000,0.9858997749484588,0.907693583200329
9,251,30,15000,0.9624167669684198,0.7997200049495559
10,251,30,30000,0.9489556800119118,0.7321462998473071
11,251,30,45000,0.9580612799438327,0.7809935358338226
