,conf,dim,budget,train_r2,test_r2
0,76,5,250,0.9826046866017855,0.905806799355122
1,76,5,500,0.9618944320742704,0.7799537548570463
2,76,5,1500,0.9081626553325794,0.5517368825525468
3,76,5,2500,0.9491198226898747,0.7202218749313443
4,76,5,5000,0.9523669893571857,0.7507906301628018
5,76,5,7500,0.951772677970754,0.7175472694376621
6,76,30,1500,0.9877321887343189,0.9393995354416061
7,76,30,3000,0.9830845841005017,0.9078403117178631
8,76,30,9000,0.9664761234856247,0.770473838599721
9,76,30,15000,0.9800084676431154,0.886514075510323
10,76,30,30000,0.9678400960690622,0.8409783979107963
11,76,30,45000,0.9776575251657771,0.8916735988317109
