,conf,dim,budget,train_r2,test_r2
0,139,5,250,0.9836609572838837,0.9212573313912256
1,139,5,500,0.9680317482669583,0.7808986481567114
2,139,5,1500,0.9138981253615748,0.589426356475453
3,139,5,2500,0.9554745169022929,0.734649183967713
4,139,5,5000,0.9619849164478493,0.7776572269646083
5,139,5,7500,0.9603475308848676,0.7697319563394355
6,139,30,1500,0.9903848515986287,0.9381126600996088
7,139,30,3000,0.9856908440582094,0.925564645611629
8,139,30,9000,0.9620541472301702,0.7220605917905152
9,139,30,15000,0.9797849723403065,0.8881241497384021
10,139,30,30000,0.9744384307138038,0.8744007906945557
11,139,30,45000,0.9707712077634183,0.8545755919206723
