,conf,dim,budget,train_r2,test_r2
0,36,5,250,0.9619306976065468,0.7920991067405343
1,36,5,500,0.9429879942253706,0.7437799337941087
2,36,5,1500,0.9304017098401325,0.5795843611753358
3,36,5,2500,0.9270631310445048,0.6592003954842258
4,36,5,5000,0.940423278570424,0.6760754886914752
5,36,5,7500,0.9496644156249564,0.7119395100734508
6,36,30,1500,0.9887179997791037,0.9406997144895926
7,36,30,3000,0.9862984030906967,0.9286125370975663
8,36,30,9000,0.975590645755504,0.8431555161543157
9,36,30,15000,0.9580378327148098,0.7666859172459833
10,36,30,30000,0.9468911104700382,0.686181998636797
11,36,30,45000,0.9476560449975142,0.7434056163123458
