,conf,dim,budget,train_r2,test_r2
0,261,5,250,0.8979058396326772,0.576918892747213
1,261,5,500,0.8452681287115611,0.3467398769801858
2,261,5,1500,0.9109374542176688,0.4358737023884098
3,261,5,2500,0.9026867278751857,0.41208691936475983
4,261,5,5000,0.9086251098965171,0.491935279398766
5,261,5,7500,0.9113512279712477,0.577056335113178
6,261,30,1500,0.9891546947094602,0.9387744281679895
7,261,30,3000,0.9837533443120335,0.9090695905015418
8,261,30,9000,0.9759516509725567,0.8435042328300637
9,261,30,15000,0.9688324872108403,0.8309798745486129
10,261,30,30000,0.9653511929155846,0.8201376721835416
11,261,30,45000,0.9629599206190955,0.806015137595384
