,conf,dim,budget,train_r2,test_r2
0,20,5,250,0.9832924833006755,0.9118743381456589
1,20,5,500,0.9762476116609395,0.8820209133140455
2,20,5,1500,0.9313392917033108,0.7202798280623253
3,20,5,2500,0.9528728815705705,0.7776736751972073
4,20,5,5000,0.9686208227137769,0.7753047201461495
5,20,5,7500,0.9664799538698624,0.7908263072704912
6,20,30,1500,0.9864627883284764,0.9349376348145171
7,20,30,3000,0.9845991724164975,0.9154129103187273
8,20,30,9000,0.9709080547940223,0.7865435088793287
9,20,30,15000,0.978906834544212,0.8812601285486661
10,20,30,30000,0.9678505085043166,0.843997612583997
11,20,30,45000,0.9798043596301532,0.8982512819912667
