,conf,dim,budget,train_r2,test_r2
0,234,5,250,0.8588585565458482,0.4257722350245645
1,234,5,500,0.9650104767836576,0.8177746145611426
2,234,5,1500,0.9366919083481513,0.6615940793964135
3,234,5,2500,0.9656458405072883,0.7906736271901107
4,234,5,5000,0.9522214663829327,0.7513878823219795
5,234,5,7500,0.949737944569131,0.7282379260681268
6,234,30,1500,0.9878246547689449,0.9349118488844201
7,234,30,3000,0.9876386056119832,0.918545644875446
8,234,30,9000,0.9801808648463233,0.8813876292552518
9,234,30,15000,0.9511786011689333,0.723076993173834
10,234,30,30000,0.9364888244169693,0.6348375921511213
11,234,30,45000,0.9685103526836641,0.8105263813768427
