,conf,dim,budget,train_r2,test_r2
0,292,5,250,0.9852649119572453,0.912968569879153
1,292,5,500,0.9820058852890096,0.896478456920747
2,292,5,1500,0.9215109671001513,0.6092687055935464
3,292,5,2500,0.9313545884349181,0.6944795278056415
4,292,5,5000,0.941264427389837,0.7172136420709198
5,292,5,7500,0.9451474768597915,0.6797718551411002
6,292,30,1500,0.9878639398448119,0.9437356570556912
7,292,30,3000,0.9834739469532892,0.9013950005604567
8,292,30,9000,0.9785132260646506,0.8663478704290377
9,292,30,15000,0.956572677348162,0.7700208006179875
10,292,30,30000,0.9579892523902629,0.8102211723775532
11,292,30,45000,0.9836683641206452,0.9263053674558513
