,conf,dim,budget,train_r2,test_r2
0,50,5,250,0.9693554192548095,0.8344225324407205
1,50,5,500,0.9455226298017221,0.7887201633360863
2,50,5,1500,0.8825245349403763,0.5428241601714401
3,50,5,2500,0.9306310392475778,0.654708371547611
4,50,5,5000,0.9345211489253339,0.688542406766293
5,50,5,7500,0.9380906166485202,0.718034796587105
6,50,30,1500,0.987634034252755,0.9170793168925563
7,50,30,3000,0.9842230756338237,0.905425869633843
8,50,30,9000,0.9814352436949256,0.8909885166070204
9,50,30,15000,0.9791272123679633,0.8925329150172443
10,50,30,30000,0.9628790228075133,0.7908585104758602
11,50,30,45000,0.9345705079772492,0.6953185097880995
