,conf,dim,budget,train_r2,test_r2
0,147,5,250,0.9803201233984679,0.8950624609034067
1,147,5,500,0.9772936905393619,0.8877812198754583
2,147,5,1500,0.9269734036564273,0.6158168503560926
3,147,5,2500,0.9569504891167379,0.7575884235352277
4,147,5,5000,0.9531346238398614,0.7625056463983615
5,147,5,7500,0.9538134672098126,0.76278740661364
6,147,30,1500,0.9894556198734437,0.9354152253273853
7,147,30,3000,0.9823519727443,0.9133641677749533
8,147,30,9000,0.9451231732743459,0.687496001362737
9,147,30,15000,0.9600328486531031,0.762597585574283
10,147,30,30000,0.9577790728595978,0.7373449767237946
11,147,30,45000,0.9557753758532707,0.7602424888863231
