,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,v_10,v_11,v_12,v_13,v_14,v_15,v_16,v_17,v_18,v_19,v_20,v_21,v_22,v_23,v_24
0_250_5,5.060465020530001,27803.34665851689,52.82761513842,77.30044690329001,20.012669130949998,2957.80105666822,19.95412720472,803.6279829130101,574.40655415218,33885.30036587557,374.94628997757,2612418.577169356,320.60373472477,2.7398887268400003,53.95349069946,9.248700684380001,4.21560136748,16.378854928,5.49327932229,48.25598280039,8.166050577,9.2743520681,2.6326703936699998,45.474703247360004
0_500_5,3.01167326604,12504.673552616048,43.91109765758,62.506816681710006,5.6657130352100005,1011.4832365803201,11.883973849909998,359.29738412078007,335.73757962442005,16898.1283164509,98.13695645896,1597814.352319606,234.32616943891998,2.0377559769,44.37226925307,7.41629247482,3.4527936722,12.1686153716,4.53147488787,4.30134193045,6.52564142264,7.503386483759999,2.16508405186,38.70853099346
0_1500_5,0.6200464139999999,2112.38289032942,24.328759649240002,32.53020295325,0.0,14.178842188049998,4.64600605505,53.40406014249,64.96646234228001,4496.505616303859,41.95292598934999,255070.38546866056,106.61799300779,0.7385343757899999,25.955326846050003,5.14218560714,1.93879112055,6.251072783470001,2.3619133877099996,2.4975841328,2.6009879559700004,2.95823115632,1.77961130192,27.34824452689
0_2500_5,0.11322937708999999,405.28735635092,12.85793120992,20.088505291399997,0.0,8.334066067890001,2.9544817926599998,25.257318019110002,30.305973745029995,2746.56454864082,33.711795253960005,77406.52065434013,73.58761660843,0.26954012125,20.99338143265,4.18089955842,1.17508879202,4.59917796298,1.7434812975900003,1.92926877402,1.93757256835,2.2113654556,1.57728723436,21.879860522639998
0_5000_5,0.00338825133,10.621606912819999,6.36148629946,8.04335430241,0.0,1.55668891885,0.7844349296500001,5.42028147476,6.32208675807,1094.00579750927,19.51670913728,13911.896068865131,31.035766364289998,0.021579155229999997,13.07939422423,3.3764722583099998,0.54139891458,2.47160375375,1.22523225442,1.3047060295599997,0.9828277945799998,1.3231578316400001,1.3927704605,16.50336462087
0_7500_5,0.00010417764,0.26841866057999997,4.00783277668,5.5999940617299995,0.0,0.37759591666000003,0.33889987067,2.47492284789,3.0867999945299998,656.1858721733,14.502913645369997,3706.4170148678204,15.583297122369999,0.00382799105,9.35084320148,2.87705538544,0.24107730491999999,1.2080980501799998,0.93824952382,0.9921273990599999,0.37565765295000003,0.6732462400499999,1.1853624363000002,14.76540619989
0_1500_30,87.72625690003,1318151.175381438,697.97417085456,1119.3583670181501,99.10624504264999,50559.82806966595,585.433148763,83809.97233495717,95285.71115724689,1838381.6815940707,375.08444063132004,156071106.0548496,1831.93540018445,34.8813129393,726.22968095533,34.64286483081,10.70794901639,39.42779610324,17.622911948080002,38755.97193763856,75.50801590150999,75.11900487424,4.14908346652,658.01790156021
0_3000_30,47.57007953883,454615.0771223117,462.83079763497,783.3997988705099,17.046217168920002,4083.5519337595506,436.65526864641,36320.31999512603,56619.165238896545,1365028.939815988,332.2960385942,80866873.20901945,1372.42234781259,24.811097494389998,523.66437656121,32.0522034331,8.055418351609998,29.80097417043,14.33689824379,18843.031016006564,71.38706794176001,67.68153868616999,4.03102695688,555.19657750998
0_9000_30,8.90246882724,22517.293289781082,255.20449195593,389.58458193912,0.01071350756999998,371.31419730476006,267.52766983656,3623.88470618716,9321.71832743469,927056.1619670719,311.21864859957,14388756.95211108,725.6637963420201,13.120543473770002,343.09981362985,29.71778174291,4.85296873139,19.84535586482,9.03095453709,897.34973066842,46.06658871231,24.4830844086,3.6403271220599995,372.68696370517
0_15000_30,2.00661257994,2624.8877746020703,206.99611328698,281.91950708884,9.921839999999998e-06,274.36913621216,201.33382072171,1046.9783269970999,2717.87349509831,793657.1798489646,294.74723014363997,3910040.2466778755,458.35068079296997,7.476508798080002,295.48154233613997,28.327605624389996,3.5884455948800005,15.870263152789999,8.00622130186,4.5097912428199995,22.74504446531,12.99779305174,3.42150071863,327.17530317415
