"","DIM","funcId","ID","runtime","run","f(x)","instance","dim"
"1",5,1,"conf_176",250,1,11.5398212173,1,5
"2",5,1,"conf_176",500,1,3.788050496,1,5
"3",5,1,"conf_176",1500,1,1.4765351225,1,5
"4",5,1,"conf_176",2500,1,0.3105559138,1,5
"5",5,1,"conf_176",5000,1,0.0177280719,1,5
"6",5,1,"conf_176",7500,1,0.0004734325,1,5
"7",5,1,"conf_176",250,2,13.5085371692,1,5
"8",5,1,"conf_176",500,2,4.6205779261,1,5
"9",5,1,"conf_176",1500,2,0.2733854469,1,5
"10",5,1,"conf_176",2500,2,0.2733854469,1,5
"11",5,1,"conf_176",5000,2,0.0129034066,1,5
"12",5,1,"conf_176",7500,2,0.0004941542,1,5
"13",5,1,"conf_176",250,3,3.5064911287,1,5
"14",5,1,"conf_176",500,3,3.5064911287,1,5
"15",5,1,"conf_176",1500,3,0.306253988,1,5
"16",5,1,"conf_176",2500,3,0.2784549031,1,5
"17",5,1,"conf_176",5000,3,0.0030591609,1,5
"18",5,1,"conf_176",7500,3,0.0012072641,1,5
"19",5,1,"conf_176",250,4,4.2675046066,1,5
"20",5,1,"conf_176",500,4,4.1494063545,1,5
"21",5,1,"conf_176",1500,4,1.0207782745,1,5
"22",5,1,"conf_176",2500,4,0.4456480361,1,5
"23",5,1,"conf_176",5000,4,0.0311670711,1,5
"24",5,1,"conf_176",7500,4,0.0010924788,1,5
"25",5,1,"conf_176",250,5,2.3416283764,1,5
"26",5,1,"conf_176",500,5,2.3416283764,1,5
"27",5,1,"conf_176",1500,5,1.3673173197,1,5
"28",5,1,"conf_176",2500,5,0.2299387858,1,5
"29",5,1,"conf_176",5000,5,0.0126460477,1,5
"30",5,1,"conf_176",7500,5,0.0007113221,1,5
"31",5,1,"conf_176",250,6,3.3850736511,1,5
"32",5,1,"conf_176",500,6,3.3850736511,1,5
"33",5,1,"conf_176",1500,6,1.2183340273,1,5
"34",5,1,"conf_176",2500,6,0.4863232794,1,5
"35",5,1,"conf_176",5000,6,0.0136178715,1,5
"36",5,1,"conf_176",7500,6,0.0006187084,1,5
"37",5,1,"conf_176",250,7,8.7893714292,1,5
"38",5,1,"conf_176",500,7,3.0962558981,1,5
"39",5,1,"conf_176",1500,7,0.3809013401,1,5
"40",5,1,"conf_176",2500,7,0.1816728592,1,5
"41",5,1,"conf_176",5000,7,0.0140224792,1,5
"42",5,1,"conf_176",7500,7,0.0004960343,1,5
"43",5,1,"conf_176",250,8,3.9113518273,1,5
"44",5,1,"conf_176",500,8,3.9113518273,1,5
"45",5,1,"conf_176",1500,8,1.3359566713,1,5
"46",5,1,"conf_176",2500,8,0.2881775532,1,5
"47",5,1,"conf_176",5000,8,0.0274219204,1,5
"48",5,1,"conf_176",7500,8,0.0007620584,1,5
"49",5,1,"conf_176",250,9,1.3991899479,1,5
"50",5,1,"conf_176",500,9,1.3991899479,1,5
"51",5,1,"conf_176",1500,9,0.6139593633,1,5
"52",5,1,"conf_176",2500,9,0.2648602837,1,5
"53",5,1,"conf_176",5000,9,0.0157032015,1,5
"54",5,1,"conf_176",7500,9,0.0010483372,1,5
"55",5,1,"conf_176",250,10,7.4837393473,1,5
"56",5,1,"conf_176",500,10,4.9413628716,1,5
"57",5,1,"conf_176",1500,10,1.1159084479,1,5
"58",5,1,"conf_176",2500,10,0.3579397902,1,5
"59",5,1,"conf_176",5000,10,0.0042966715,1,5
"60",5,1,"conf_176",7500,10,0.0006824991,1,5
"61",5,1,"conf_176",250,11,3.9837256664,1,5
"62",5,1,"conf_176",500,11,3.9837256664,1,5
"63",5,1,"conf_176",1500,11,0.6861306331,1,5
"64",5,1,"conf_176",2500,11,0.2379258495,1,5
"65",5,1,"conf_176",5000,11,0.0193493055,1,5
"66",5,1,"conf_176",7500,11,0.0014320315,1,5
"67",5,1,"conf_176",250,12,7.0677708491,1,5
"68",5,1,"conf_176",500,12,5.2043990452,1,5
"69",5,1,"conf_176",1500,12,1.1858141271,1,5
"70",5,1,"conf_176",2500,12,0.3115617593,1,5
"71",5,1,"conf_176",5000,12,0.0339177762,1,5
"72",5,1,"conf_176",7500,12,0.0012760574,1,5
"73",5,1,"conf_176",250,13,3.3264984711,1,5
"74",5,1,"conf_176",500,13,3.3264984711,1,5
"75",5,1,"conf_176",1500,13,0.4438724712,1,5
"76",5,1,"conf_176",2500,13,0.2833039017,1,5
"77",5,1,"conf_176",5000,13,0.0287700201,1,5
"78",5,1,"conf_176",7500,13,0.0015702895,1,5
"79",5,1,"conf_176",250,14,9.6364161384,1,5
"80",5,1,"conf_176",500,14,6.3222966393,1,5
"81",5,1,"conf_176",1500,14,1.4835160884,1,5
"82",5,1,"conf_176",2500,14,0.1500038897,1,5
"83",5,1,"conf_176",5000,14,0.0248071082,1,5
"84",5,1,"conf_176",7500,14,0.0007523157,1,5
"85",5,1,"conf_176",250,15,8.8734738524,1,5
"86",5,1,"conf_176",500,15,0.8338200543,1,5
"87",5,1,"conf_176",1500,15,0.8338200543,1,5
"88",5,1,"conf_176",2500,15,0.2320482588,1,5
"89",5,1,"conf_176",5000,15,0.0151297545,1,5
"90",5,1,"conf_176",7500,15,0.0014650995,1,5
"91",5,1,"conf_176",250,16,4.9728756614,1,5
"92",5,1,"conf_176",500,16,4.9728756614,1,5
"93",5,1,"conf_176",1500,16,0.3393432593,1,5
"94",5,1,"conf_176",2500,16,0.1745245057,1,5
"95",5,1,"conf_176",5000,16,0.0362228595,1,5
"96",5,1,"conf_176",7500,16,0.0012268544,1,5
"97",5,1,"conf_176",250,17,3.8322604867,1,5
"98",5,1,"conf_176",500,17,3.8322604867,1,5
"99",5,1,"conf_176",1500,17,1.263582682,1,5
"100",5,1,"conf_176",2500,17,0.3054958677,1,5
"101",5,1,"conf_176",5000,17,0.0078244876,1,5
"102",5,1,"conf_176",7500,17,0.0006481559,1,5
"103",5,1,"conf_176",250,18,6.8842315621,1,5
"104",5,1,"conf_176",500,18,6.506772201,1,5
"105",5,1,"conf_176",1500,18,1.1522085633,1,5
"106",5,1,"conf_176",2500,18,0.1931175966,1,5
"107",5,1,"conf_176",5000,18,0.0129631432,1,5
"108",5,1,"conf_176",7500,18,0.0009576624,1,5
"109",5,1,"conf_176",250,19,6.5329554357,1,5
"110",5,1,"conf_176",500,19,3.6140761439,1,5
"111",5,1,"conf_176",1500,19,1.4685393583,1,5
"112",5,1,"conf_176",2500,19,0.3906231812,1,5
"113",5,1,"conf_176",5000,19,0.0067682338,1,5
"114",5,1,"conf_176",7500,19,5.59235e-05,1,5
"115",5,1,"conf_176",250,20,5.4435647649,1,5
"116",5,1,"conf_176",500,20,3.6301524266,1,5
"117",5,1,"conf_176",1500,20,1.2087930471,1,5
"118",5,1,"conf_176",2500,20,0.1244917845,1,5
"119",5,1,"conf_176",5000,20,0.0138324905,1,5
"120",5,1,"conf_176",7500,20,0.0004951971,1,5
"121",5,1,"conf_176",250,21,7.0387908813,1,5
"122",5,1,"conf_176",500,21,4.6973991001,1,5
"123",5,1,"conf_176",1500,21,0.3016178862,1,5
"124",5,1,"conf_176",2500,21,0.2208840545,1,5
"125",5,1,"conf_176",5000,21,0.0028131933,1,5
"126",5,1,"conf_176",7500,21,0.000612309,1,5
"127",5,1,"conf_176",250,22,5.5932011295,1,5
"128",5,1,"conf_176",500,22,2.7662308277,1,5
"129",5,1,"conf_176",1500,22,2.2510952169,1,5
"130",5,1,"conf_176",2500,22,0.3944581301,1,5
"131",5,1,"conf_176",5000,22,0.0121121942,1,5
"132",5,1,"conf_176",7500,22,0.0004208952,1,5
"133",5,1,"conf_176",250,23,1.8387956909,1,5
"134",5,1,"conf_176",500,23,1.8387956909,1,5
"135",5,1,"conf_176",1500,23,1.0366265555,1,5
"136",5,1,"conf_176",2500,23,0.1519663604,1,5
"137",5,1,"conf_176",5000,23,0.0191055888,1,5
"138",5,1,"conf_176",7500,23,0.0007712074,1,5
"139",5,1,"conf_176",250,24,3.6330257956,1,5
"140",5,1,"conf_176",500,24,3.6330257956,1,5
"141",5,1,"conf_176",1500,24,1.8417945112,1,5
"142",5,1,"conf_176",2500,24,0.5195068939,1,5
"143",5,1,"conf_176",5000,24,0.0368612684,1,5
"144",5,1,"conf_176",7500,24,0.0012578233,1,5
"145",5,1,"conf_176",250,25,8.5430973208,1,5
"146",5,1,"conf_176",500,25,6.5875453311,1,5
"147",5,1,"conf_176",1500,25,0.4352498334,1,5
"148",5,1,"conf_176",2500,25,0.3756562662,1,5
"149",5,1,"conf_176",5000,25,0.0054269259,1,5
"150",5,1,"conf_176",7500,25,0.0005049884,1,5
"151",5,1,"conf_176",250,26,3.6432987304,1,5
"152",5,1,"conf_176",500,26,1.9286569402,1,5
"153",5,1,"conf_176",1500,26,0.8784568335,1,5
"154",5,1,"conf_176",2500,26,0.2748903659,1,5
"155",5,1,"conf_176",5000,26,0.0177376749,1,5
"156",5,1,"conf_176",7500,26,0.0011577328,1,5
"157",5,1,"conf_176",250,27,7.7410705967,1,5
"158",5,1,"conf_176",500,27,4.0188350546,1,5
"159",5,1,"conf_176",1500,27,0.9683209129,1,5
"160",5,1,"conf_176",2500,27,0.3070410917,1,5
"161",5,1,"conf_176",5000,27,0.0035519586,1,5
"162",5,1,"conf_176",7500,27,0.0002039641,1,5
"163",5,1,"conf_176",250,28,3.9189163282,1,5
"164",5,1,"conf_176",500,28,3.9189163282,1,5
"165",5,1,"conf_176",1500,28,1.1798448047,1,5
"166",5,1,"conf_176",2500,28,0.2434668276,1,5
"167",5,1,"conf_176",5000,28,0.0172094117,1,5
"168",5,1,"conf_176",7500,28,0.0011466565,1,5
"169",5,1,"conf_176",250,29,5.7418776223,1,5
"170",5,1,"conf_176",500,29,3.4329612477,1,5
"171",5,1,"conf_176",1500,29,1.4559699191,1,5
"172",5,1,"conf_176",2500,29,0.1211559872,1,5
