"","DIM","funcId","ID","runtime","run","f(x)","instance","dim"
"97",5,1,"conf_532",250,17,3.7975086744,1,5
"98",5,1,"conf_532",500,17,2.0243971388,1,5
"99",5,1,"conf_532",1500,17,0.3581849422,1,5
"100",5,1,"conf_532",2500,17,0.1736260733,1,5
"101",5,1,"conf_532",5000,17,0.0031071381,1,5
"102",5,1,"conf_532",7500,17,2.88215e-05,1,5
"103",5,1,"conf_532",250,18,6.0880595913,1,5
"104",5,1,"conf_532",500,18,2.4501890819,1,5
"105",5,1,"conf_532",1500,18,0.5151918443,1,5
"106",5,1,"conf_532",2500,18,0.044276559,1,5
"107",5,1,"conf_532",5000,18,0.0024876335,1,5
"108",5,1,"conf_532",7500,18,1.84713e-05,1,5
"109",5,1,"conf_532",250,19,2.1797640069,1,5
"110",5,1,"conf_532",500,19,2.1797640069,1,5
"111",5,1,"conf_532",1500,19,0.6676052652,1,5
"112",5,1,"conf_532",2500,19,0.1745307755,1,5
"113",5,1,"conf_532",5000,19,0.0055350671,1,5
"114",5,1,"conf_532",7500,19,0.000111218,1,5
"115",5,1,"conf_532",250,20,6.328028474,1,5
"116",5,1,"conf_532",500,20,4.8112236975,1,5
"117",5,1,"conf_532",1500,20,0.332545596,1,5
"118",5,1,"conf_532",2500,20,0.135673193,1,5
"119",5,1,"conf_532",5000,20,0.0008205333,1,5
"120",5,1,"conf_532",7500,20,3.3501e-05,1,5
"121",5,1,"conf_532",250,21,1.6156471494,1,5
"122",5,1,"conf_532",500,21,1.5788571288,1,5
"123",5,1,"conf_532",1500,21,0.2913917318,1,5
"124",5,1,"conf_532",2500,21,0.122126894,1,5
"125",5,1,"conf_532",5000,21,0.0021869235,1,5
"126",5,1,"conf_532",7500,21,8.7727e-06,1,5
"127",5,1,"conf_532",250,22,2.9878525994,1,5
"128",5,1,"conf_532",500,22,2.9878525994,1,5
"129",5,1,"conf_532",1500,22,0.3779591036,1,5
"130",5,1,"conf_532",2500,22,0.1332753084,1,5
"131",5,1,"conf_532",5000,22,0.0026667105,1,5
"132",5,1,"conf_532",7500,22,2.66307e-05,1,5
"133",5,1,"conf_532",250,23,1.9162498779,1,5
"134",5,1,"conf_532",500,23,1.9162498779,1,5
"135",5,1,"conf_532",1500,23,0.4181954562,1,5
"136",5,1,"conf_532",2500,23,0.0925631927,1,5
"137",5,1,"conf_532",5000,23,0.0011018397,1,5
"138",5,1,"conf_532",7500,23,3.2063e-05,1,5
"139",5,1,"conf_532",250,24,2.8453045288,1,5
"140",5,1,"conf_532",500,24,2.8453045288,1,5
"141",5,1,"conf_532",1500,24,0.4373696979,1,5
"142",5,1,"conf_532",2500,24,0.084963364,1,5
"143",5,1,"conf_532",5000,24,0.0005486819,1,5
"144",5,1,"conf_532",7500,24,3.73286e-05,1,5
"145",5,1,"conf_532",250,25,2.8931835313,1,5
"146",5,1,"conf_532",500,25,1.4737350181,1,5
"147",5,1,"conf_532",1500,25,0.1644386947,1,5
"148",5,1,"conf_532",2500,25,0.0513581375,1,5
"149",5,1,"conf_532",5000,25,0.0028250993,1,5
"150",5,1,"conf_532",7500,25,3.04593e-05,1,5
"151",5,1,"conf_532",250,26,0.5120289872,1,5
"152",5,1,"conf_532",500,26,0.5120289872,1,5
"153",5,1,"conf_532",1500,26,0.403139983,1,5
"154",5,1,"conf_532",2500,26,0.0698026255,1,5
"155",5,1,"conf_532",5000,26,0.0020963543,1,5
"156",5,1,"conf_532",7500,26,2.95769e-05,1,5
"157",5,1,"conf_532",250,27,4.8389779438,1,5
"158",5,1,"conf_532",500,27,4.4144884463,1,5
"159",5,1,"conf_532",1500,27,0.4773542441,1,5
"160",5,1,"conf_532",2500,27,0.1045901475,1,5
"161",5,1,"conf_532",5000,27,0.0033030498,1,5
"162",5,1,"conf_532",7500,27,3.75137e-05,1,5
"163",5,1,"conf_532",250,28,1.9432068752,1,5
"164",5,1,"conf_532",500,28,1.2856168499,1,5
"165",5,1,"conf_532",1500,28,0.0564206334,1,5
"166",5,1,"conf_532",2500,28,0.0564206334,1,5
"167",5,1,"conf_532",5000,28,0.0031596444,1,5
"168",5,1,"conf_532",7500,28,4.54451e-05,1,5
"169",5,1,"conf_532",250,29,3.1333809667,1,5
"170",5,1,"conf_532",500,29,1.8907901702,1,5
"171",5,1,"conf_532",1500,29,0.2232383982,1,5
"172",5,1,"conf_532",2500,29,0.1487353048,1,5
"173",5,1,"conf_532",5000,29,0.0011442335,1,5
"174",5,1,"conf_532",7500,29,3.65258e-05,1,5
"175",5,1,"conf_532",250,30,3.1074157783,1,5
"176",5,1,"conf_532",500,30,1.18547805,1,5
"177",5,1,"conf_532",1500,30,0.3123425144,1,5
"178",5,1,"conf_532",2500,30,0.0580766666,1,5
"179",5,1,"conf_532",5000,30,0.0018204831,1,5
"180",5,1,"conf_532",7500,30,3.394e-05,1,5
"181",5,1,"conf_532",250,31,4.1785679422,1,5
"182",5,1,"conf_532",500,31,1.3249585262,1,5
"183",5,1,"conf_532",1500,31,0.5770365443,1,5
"184",5,1,"conf_532",2500,31,0.0912006373,1,5
"185",5,1,"conf_532",5000,31,0.0024296667,1,5
"186",5,1,"conf_532",7500,31,1.62464e-05,1,5
"187",5,1,"conf_532",250,32,5.5053671914,1,5
"188",5,1,"conf_532",500,32,4.2400525291,1,5
"189",5,1,"conf_532",1500,32,0.3406487258,1,5
"190",5,1,"conf_532",2500,32,0.2028775381,1,5
"191",5,1,"conf_532",5000,32,0.0050126607,1,5
"192",5,1,"conf_532",7500,32,2.70219e-05,1,5
"193",5,1,"conf_532",250,33,2.2767596806,1,5
"194",5,1,"conf_532",500,33,0.9373638991,1,5
"195",5,1,"conf_532",1500,33,0.3953899993,1,5
"196",5,1,"conf_532",2500,33,0.102190331,1,5
"197",5,1,"conf_532",5000,33,0.0014303998,1,5
"198",5,1,"conf_532",7500,33,6.90313e-05,1,5
"199",5,1,"conf_532",250,34,3.6696170833,1,5
"200",5,1,"conf_532",500,34,1.9966648604,1,5
"201",5,1,"conf_532",1500,34,0.4488725073,1,5
"202",5,1,"conf_532",2500,34,0.0995863312,1,5
"203",5,1,"conf_532",5000,34,0.0026811732,1,5
"204",5,1,"conf_532",7500,34,6.64184e-05,1,5
"205",5,1,"conf_532",250,35,3.7863101606,1,5
"206",5,1,"conf_532",500,35,2.6864782994,1,5
"207",5,1,"conf_532",1500,35,0.5934470069,1,5
"208",5,1,"conf_532",2500,35,0.1040434678,1,5
"209",5,1,"conf_532",5000,35,0.0021073809,1,5
"210",5,1,"conf_532",7500,35,2.17818e-05,1,5
"211",5,1,"conf_532",250,36,4.2528541013,1,5
"212",5,1,"conf_532",500,36,3.5398318072,1,5
"213",5,1,"conf_532",1500,36,0.3850486024,1,5
"214",5,1,"conf_532",2500,36,0.1043545773,1,5
"215",5,1,"conf_532",5000,36,0.0017413354,1,5
"216",5,1,"conf_532",7500,36,2.54562e-05,1,5
"217",5,1,"conf_532",250,37,4.1188019349,1,5
"218",5,1,"conf_532",500,37,1.1547091635,1,5
"219",5,1,"conf_532",1500,37,0.3220092677,1,5
"220",5,1,"conf_532",2500,37,0.1198255055,1,5
"221",5,1,"conf_532",5000,37,0.0016799879,1,5
"222",5,1,"conf_532",7500,37,3.53933e-05,1,5
"223",5,1,"conf_532",250,38,2.7696250319,1,5
"224",5,1,"conf_532",500,38,2.7696250319,1,5
"225",5,1,"conf_532",1500,38,0.4751529369,1,5
"226",5,1,"conf_532",2500,38,0.0527385046,1,5
"227",5,1,"conf_532",5000,38,0.0031481541,1,5
"228",5,1,"conf_532",7500,38,5.5647e-05,1,5
"229",5,1,"conf_532",250,39,5.3990085388,1,5
"230",5,1,"conf_532",500,39,4.048976234,1,5
"231",5,1,"conf_532",1500,39,0.1458271257,1,5
"232",5,1,"conf_532",2500,39,0.1153837361,1,5
