"","DIM","funcId","ID","runtime","run","f(x)","instance","dim"
"1",30,1,"conf_159",1500,1,1.8697328801,5,30
"2",30,1,"conf_159",3000,1,0.0236625216,5,30
"3",30,1,"conf_159",9000,1,0.003397627,5,30
"4",30,1,"conf_159",15000,1,0.0033875752,5,30
"5",30,1,"conf_159",30000,1,0.0018190937,5,30
"6",30,1,"conf_159",45000,1,0.001818847,5,30
"7",30,1,"conf_159",1500,2,10.0325225666,5,30
"8",30,1,"conf_159",3000,2,3.7667462073,5,30
"9",30,1,"conf_159",9000,2,0.4585243682,5,30
"10",30,1,"conf_159",15000,2,0.222039028,5,30
"11",30,1,"conf_159",30000,2,0.2205707948,5,30
"12",30,1,"conf_159",45000,2,0.2205569896,5,30
"13",30,1,"conf_159",1500,3,5.1095028073,5,30
"14",30,1,"conf_159",3000,3,0.2703723222,5,30
"15",30,1,"conf_159",9000,3,3.37957e-05,5,30
"16",30,1,"conf_159",15000,3,3.31495e-05,5,30
"17",30,1,"conf_159",30000,3,3.14301e-05,5,30
"18",30,1,"conf_159",45000,3,3.14299e-05,5,30
"19",30,1,"conf_159",1500,4,4.0636785649,5,30
"20",30,1,"conf_159",3000,4,0.1779153059,5,30
"21",30,1,"conf_159",9000,4,0.0052023589,5,30
"22",30,1,"conf_159",15000,4,3.165e-07,5,30
"23",30,1,"conf_159",30000,4,2.263e-07,5,30
"24",30,1,"conf_159",45000,4,2.263e-07,5,30
"25",30,1,"conf_159",1500,5,6.1460159471,5,30
"26",30,1,"conf_159",3000,5,0.1897211198,5,30
"27",30,1,"conf_159",9000,5,0.0003916248,5,30
"28",30,1,"conf_159",15000,5,7.51249e-05,5,30
"29",30,1,"conf_159",30000,5,7.50608e-05,5,30
"30",30,1,"conf_159",45000,5,7.50579e-05,5,30
"31",30,1,"conf_159",1500,6,4.7870205963,5,30
"32",30,1,"conf_159",3000,6,0.0513963899,5,30
"33",30,1,"conf_159",9000,6,0.0018547108,5,30
"34",30,1,"conf_159",15000,6,0.0005214079,5,30
"35",30,1,"conf_159",30000,6,0.0005158973,5,30
"36",30,1,"conf_159",45000,6,0.0005158973,5,30
"37",30,1,"conf_159",1500,7,4.1680354781,5,30
"38",30,1,"conf_159",3000,7,0.0593704343,5,30
"39",30,1,"conf_159",9000,7,0.0001335061,5,30
"40",30,1,"conf_159",15000,7,0.0001042978,5,30
"41",30,1,"conf_159",30000,7,6.99152e-05,5,30
"42",30,1,"conf_159",45000,7,6.93669e-05,5,30
"43",30,1,"conf_159",1500,8,4.7909170403,5,30
"44",30,1,"conf_159",3000,8,0.1296470526,5,30
"45",30,1,"conf_159",9000,8,0.0004478442,5,30
"46",30,1,"conf_159",15000,8,1.158e-07,5,30
"47",30,1,"conf_159",30000,8,2.78e-08,5,30
"48",30,1,"conf_159",45000,8,2.77e-08,5,30
"49",30,1,"conf_159",1500,9,6.004962132,5,30
"50",30,1,"conf_159",3000,9,0.2233246461,5,30
"51",30,1,"conf_159",9000,9,0.0257102126,5,30
"52",30,1,"conf_159",15000,9,0.0226990677,5,30
"53",30,1,"conf_159",30000,9,0.0226803176,5,30
"54",30,1,"conf_159",45000,9,0.022604077,5,30
"55",30,1,"conf_159",1500,10,6.6359238007,5,30
"56",30,1,"conf_159",3000,10,0.267486513,5,30
"57",30,1,"conf_159",9000,10,0.0801470378,5,30
"58",30,1,"conf_159",15000,10,0.0801308111,5,30
"59",30,1,"conf_159",30000,10,0.0801307535,5,30
"60",30,1,"conf_159",45000,10,0.0801307535,5,30
"61",30,10,"conf_159",1500,1,1202319.31650565,5,30
"62",30,10,"conf_159",3000,1,598534.255641297,5,30
"63",30,10,"conf_159",9000,1,74111.9741474382,5,30
"64",30,10,"conf_159",15000,1,52662.7081036876,5,30
"65",30,10,"conf_159",30000,1,34860.0485490375,5,30
"66",30,10,"conf_159",45000,1,31686.9936639748,5,30
"67",30,10,"conf_159",1500,2,1339969.83392227,5,30
"68",30,10,"conf_159",3000,2,437371.484647217,5,30
"69",30,10,"conf_159",9000,2,53001.5460524582,5,30
"70",30,10,"conf_159",15000,2,39019.5309121101,5,30
"71",30,10,"conf_159",30000,2,24012.2510134573,5,30
